code,m_p,gate_p
101,7000.0,5000.0
102,2000.0,3000.0
103,1500.0,1500.0
104,3000.0,
105,1500.0,2000.0
106,2000.0,4000.0
107,1000.0,1000.0
108,1200.0,1200.0
109,2000.0,3000.0
110,3000.0,2400.0
111,600.0,650.0
112,500.0,300.0
113,1800.0,1000.0
114,1700.0,100.0
115,1500.0,1000.0
116,1000.0,700.0
117,7000.0,6000.0
118,6000.0,7000.0
119,7500.0,7000.0
120,4000.0,200.0
121,12000.0,10000.0
122,3000.0,2000.0
123,2000.0,1500.0
124,300.0,300.0
125,600.0,500.0
126,21000.0,
127,300.0,200.0
128,3500.0,5000.0
129,2500.0,300.0
130,1000.0,
131,1000.0,2000.0
132,300.0,200.0
133,500.0,500.0
134,500.0,1000.0
135,500.0,400.0
136,500.0,400.0
137,700.0,500.0
138,300.0,200.0
139,200.0,200.0
140,1000.0,800.0
141,1500.0,1000.0
142,500.0,1000.0
143,1300.0,1200.0
144,3100.0,1500.0
145,2000.0,500.0
146,1000.0,800.0
147,3000.0,3000.0
148,125.0,500.0
149,100.0,100.0
150,400.0,450.0
151,1000.0,
152,2000.0,
153,1000.0,1000.0
154,1000.0,3750.0
155,100.0,100.0
156,200.0,100.0
157,,
158,1000.0,1250.0
159,2000.0,2000.0
160,,
161,,
162,800.0,700.0
163,725.0,1000.0
164,200.0,200.0
165,1000.0,1000.0
166,250.0,200.0
167,500.0,500.0
168,500.0,300.0
169,1500.0,800.0
170,1000.0,700.0
171,500.0,500.0
