,hh,profit_ls,profit_agr,total_agrls
0,1021000710.0,,780000.0,780000.0
1,1021002013.0,0.0,5921000.0,5921000.0
2,1021002210.0,0.0,878333.3333333334,878333.3333333334
3,1021002610.0,70000.0,641000.0,711000.0
4,1021002611.0,0.0,231999.99937415123,231999.99937415123
5,1021002810.0,0.0,789500.0,789500.0
6,1033000301.0,31200.0,1316733.3328117926,1347933.3328117926
7,1033000302.0,0.0,5975166.677533338,5975166.677533338
8,1033000303.0,0.0,1874833.331031104,1874833.331031104
9,1033000304.0,0.0,1574666.6641781726,1574666.6641781726
10,1033000307.0,70000.0,8859266.66966925,8929266.66966925
11,1033000310.0,0.0,6004000.019192696,6004000.019192696
12,1033000504.0,0.0,676999.9993741512,676999.9993741512
13,1033000505.0,0.0,3096933.347072204,3096933.347072204
14,1033000506.0,122000.0,5356333.333333334,5478333.333333334
15,1033000507.0,504000.0,2207166.666666667,2711166.666666667
16,1033000509.0,0.0,7077666.655285904,7077666.655285904
17,1033000510.0,450000.0,4836979.995961785,5286979.995961785
18,1033000511.0,-15000.0,1758149.996638298,1743149.996638298
19,1041000207.0,0.0,1943666.669393579,1943666.669393579
20,1041000210.0,0.0,5077333.332737287,5077333.332737287
21,1043000402.0,0.0,1445683.3324206371,1445683.3324206371
22,1043000407.0,0.0,4598666.663820545,4598666.663820545
23,1043000409.0,716000.0,6143699.99973923,6859699.99973923
24,1043000410.0,4705400.0,12081455.560812686,16786855.560812686
25,1043000601.0,0.0,3297499.9890476465,3297499.9890476465
26,1043000603.0,0.0,10139111.11108131,10139111.11108131
27,1043000604.0,-7000.0,2958666.666666667,2951666.666666667
28,1043000605.0,-3000.0,2609690.476190476,2606690.476190476
29,1043000607.0,0.0,2011799.9982118607,2011799.9982118607
30,1043000610.0,515000.0,2448033.329421778,2963033.329421778
31,1043000805.0,0.0,3713297.6152925263,3713297.6152925263
32,1043000806.0,2065000.0,8934523.80952381,10999523.80952381
33,1043000807.0,62400.0,3054000.0000000005,3116400.0000000005
34,1043000808.0,550000.0,3415102.572805548,3965102.572805548
35,1043000809.0,784000.0,9495333.331768712,10279333.331768712
36,1043000810.0,496000.0,7297586.6909257565,7793586.6909257565
37,1043000811.0,0.0,925000.0,925000.0
38,1053000402.0,-3000.0,5716000.010937452,5713000.010937452
39,1053000403.0,-4000.0,5086333.34227403,5082333.34227403
40,1053000404.0,0.0,3333500.004351139,3333500.004351139
41,1053000407.0,-40000.0,2938999.9918639655,2898999.9918639655
42,1053000408.0,-5000.0,5640500.0102855265,5635500.0102855265
43,1053000409.0,0.0,5585500.0,5585500.0
44,1053000410.0,,6024999.996940295,6024999.996940295
45,1053000801.0,-4000.0,13658999.99541044,13654999.99541044
46,1053000802.0,1799600.0,19027499.98977159,20827099.98977159
47,1053000805.0,0.0,5451333.3366115885,5451333.3366115885
48,1053000806.0,180000.0,5833380.911700782,6013380.911700782
49,1053000807.0,0.0,7643499.9956823895,7643499.9956823895
50,1053000808.0,-10000.0,19534196.401749335,19524196.401749335
51,1053000809.0,0.0,8184666.66529576,8184666.66529576
52,1053001203.0,-80000.0,5360999.99910593,5280999.99910593
53,1053001204.0,-50000.0,11056916.658634942,11006916.658634942
54,1053001206.0,-20000.0,2198500.0,2178500.0
55,1053001207.0,0.0,1860333.3333333333,1860333.3333333333
56,1053001208.0,-14000.0,9715999.974101782,9701999.974101782
57,1053001210.0,0.0,1393500.0,1393500.0
58,1053001503.0,240000.0,4329500.0,4569500.0
59,1053001505.0,175000.0,5593722.2206438035,5768722.2206438035
60,1053001507.0,0.0,14160833.333072564,14160833.333072564
61,1053001508.0,270000.0,21583333.32968255,21853333.32968255
62,1053001509.0,180000.0,28063000.0,28243000.0
63,1053001510.0,1456000.0,31411533.33333333,32867533.33333333
64,1053001512.0,0.0,16550333.335046966,16550333.335046966
65,1053001513.0,0.0,1549049.9998956919,1549049.9998956919
66,1053001902.0,0.0,4914666.664163272,4914666.664163272
