,familysize,hh
2123001309,10,2123001309
2211100030305,10,2211100030305
1073001210,10,1073001210
1043000804,10,1043000804
210300070905,10,210300070905
3103000811,10,3103000811
2103000610,10,2103000610
1093000410,10,1093000410
3173001103,10,3173001103
2233002902,10,2233002902
3073002309,10,3073002309
2041000606,10,2041000606
1103000503,10,1103000503
2305100010207,10,2305100010207
2103000704,10,2103000704
2053001306,10,2053001306
1083000910,10,1083000910
402300200604,10,402300200604
3023003508,10,3023003508
320300241004,10,320300241004
4153000905,10,4153000905
4113000905,10,4113000905
4103002902,10,4103002902
4183001105,10,4183001105
3173001008,10,3173001008
2053001309,10,2053001309
4073000308,10,4073000308
3031000213,10,3031000213
1081000307,10,1081000307
3041000210,10,3041000210
4033000411,10,4033000411
1083003310,10,1083003310
2013000403,10,2013000403
105300040607,10,105300040607
4113000608,10,4113000608
3113000402,10,3113000402
2033002803,10,2033002803
4103002907,10,4103002907
2243001302,10,2243001302
3083000207,10,3083000207
2163000310,10,2163000310
4083000206,10,4083000206
3031000214,10,3031000214
4193003502,10,4193003502
3063000609,10,3063000609
2151000101,10,2151000101
4103002901,10,4103002901
317300091005,10,317300091005
4021000207,10,4021000207
3181000103,10,3181000103
1021001907,10,1021001907
30110300050207,10,30110300050207
4113000607,10,4113000607
2053000407,10,2053000407
1053002610,10,1053002610
2043001206,10,2043001206
2103000606,9,2103000606
4111000210,9,4111000210
2051000108,9,2051000108
2053000408,9,2053000408
1083000908,9,1083000908
30104300080602,9,30104300080602
411300070603,9,411300070603
1053000807,9,1053000807
2013000401,9,2013000401
2113000607,9,2113000607
4063000810,9,4063000810
4153000408,9,4153000408
2013000407,9,2013000407
2153000203,9,2153000203
4183002001,9,4183002001
1021001507,9,1021001507
2023000705,9,2023000705
313300010206,9,313300010206
2073000607,9,2073000607
3073001210,9,3073001210
114300030505,9,114300030505
1133002108,9,1133002108
1021001505,9,1021001505
3103000903,9,3103000903
3033003311,9,3033003311
4073000710,9,4073000710
2031000410,9,2031000410
3133000202,9,3133000202
2143000308,9,2143000308
2233001403,9,2233001403
2113000706,9,2113000706
4063001003,9,4063001003
3043001406,9,3043001406
3203002109,9,3203002109
3073001701,9,3073001701
4183002302,9,4183002302
1103000902,9,1103000902
2033001804,9,2033001804
2053001702,9,2053001702
4113000602,9,4113000602
3103000807,9,3103000807
3063000709,9,3063000709
3023001603,9,3023001603
4063001107,9,4063001107
1033000510,9,1033000510
3043001407,9,3043001407
3153001609,9,3153001609
2041000209,9,2041000209
3113000408,9,3113000408
3133000206,9,3133000206
2143000203,9,2143000203
4073000907,9,4073000907
4051000203,9,4051000203
2073000610,9,2073000610
2151000106,9,2151000106
316300160303,9,316300160303
2053000404,9,2053000404
4051000510,9,4051000510
1053002605,9,1053002605
4063000803,9,4063000803
2013000805,9,2013000805
1021001304,9,1021001304
3103000904,9,3103000904
204100020809,9,204100020809
105300040605,9,105300040605
3203001806,9,3203001806
4183002306,9,4183002306
2113000405,9,2113000405
2107300200304,9,2107300200304
4023001607,9,4023001607
1093000409,9,1093000409
2111000305,9,2111000305
3133000205,9,3133000205
3203003007,9,3203003007
3111000109,9,3111000109
2073000603,9,2073000603
1053003303,9,1053003303
4061000309,9,4061000309
3073001801,9,3073001801
4183001102,9,4183001102
2233002203,9,2233002203
30218300370504,9,30218300370504
3103001207,9,3103001207
4031000212,9,4031000212
1021000111,9,1021000111
1021002013,9,1021002013
2193000306,9,2193000306
4021000204,9,4021000204
4083000208,9,4083000208
2121000304,9,2121000304
4153000909,9,4153000909
1021001109,9,1021001109
4111000211,9,4111000211
4141000103,9,4141000103
1073001609,9,1073001609
319300120203,9,319300120203
3073002204,9,3073002204
2063000307,9,2063000307
2053001308,9,2053001308
3023001310,9,3023001310
2203000103,9,2203000103
1081000203,9,1081000203
2023000510,9,2023000510
3181000113,9,3181000113
2043001405,9,2043001405
4063001307,9,4063001307
2023000701,9,2023000701
4103002906,9,4103002906
2013000409,9,2013000409
2113000909,9,2113000909
2211300060807,9,2211300060807
2103000405,9,2103000405
2243001307,9,2243001307
3071000201,9,3071000201
4123000306,9,4123000306
2043001210,9,2043001210
1043000409,9,1043000409
212300130804,9,212300130804
1073002010,9,1073002010
4141000110,9,4141000110
1051000309,9,1051000309
320300180503,9,320300180503
4083000408,9,4083000408
1113000110,9,1113000110
2033002808,9,2033002808
4043001002,9,4043001002
1053001206,9,1053001206
3213003006,9,3213003006
3043000903,9,3043000903
4063001010,9,4063001010
3023001604,9,3023001604
1033000507,9,1033000507
2073000507,9,2073000507
1021001107,9,1021001107
1073002308,9,1073002308
1021000203,9,1021000203
2110300050204,9,2110300050204
4171000808,9,4171000808
4013000307,9,4013000307
4151000212,9,4151000212
4071000207,9,4071000207
2410300260803,9,2410300260803
3213002104,9,3213002104
3071000714,9,3071000714
1043000610,9,1043000610
3073001804,9,3073001804
1021000113,9,1021000113
4013000310,9,4013000310
4043000802,9,4043000802
4023000701,9,4023000701
3023001004,9,3023001004
2402300160906,9,2402300160906
1093000402,9,1093000402
2041000911,9,2041000911
3101000406,9,3101000406
2033000803,9,2033000803
3173001004,9,3173001004
4113000402,9,4113000402
1121000107,9,1121000107
3051000109,9,3051000109
2233001809,9,2233001809
3041000203,9,3041000203
4013000501,9,4013000501
4073000305,8,4073000305
1073000808,8,1073000808
2033000808,8,2033000808
3023000509,8,3023000509
4133000505,8,4133000505
4073000904,8,4073000904
4163000704,8,4163000704
1021000610,8,1021000610
4023002002,8,4023002002
2023000502,8,2023000502
1133001911,8,1133001911
1083002010,8,1083002010
4113000410,8,4113000410
2113000701,8,2113000701
4103003805,8,4103003805
3133000308,8,3133000308
3033000601,8,3033000601
3103000708,8,3103000708
4063001304,8,4063001304
203300180804,8,203300180804
3033003308,8,3033003308
4193003210,8,4193003210
1083001608,8,1083001608
4063001103,8,4063001103
1133000806,8,1133000806
402100020901,8,402100020901
1043000809,8,1043000809
4093001101,8,4093001101
4063001002,8,4063001002
2107100010609,8,2107100010609
1113000108,8,1113000108
3191000501,8,3191000501
2151000109,8,2151000109
4091000209,8,4091000209
2233001107,8,2233001107
3041000705,8,3041000705
1053002305,8,1053002305
4023001103,8,4023001103
2113000907,8,2113000907
2103000410,8,2103000410
4143000508,8,4143000508
1053002607,8,1053002607
1083000906,8,1083000906
4133000209,8,4133000209
1133002104,8,1133002104
1021003403,8,1021003403
1021002606,8,1021002606
3213003003,8,3213003003
4063001004,8,4063001004
4183002303,8,4183002303
1021002105,8,1021002105
4063001108,8,4063001108
4103002903,8,4103002903
4063001009,8,4063001009
1081000308,8,1081000308
2103000605,8,2103000605
4013000510,8,4013000510
1143000307,8,1143000307
2063000310,8,2063000310
4033000906,8,4033000906
3073002307,8,3073002307
2302300051007,8,2302300051007
3023003503,8,3023003503
3073002502,8,3073002502
2013000606,8,2013000606
2023000508,8,2023000508
4051000210,8,4051000210
3213002809,8,3213002809
2041000901,8,2041000901
2153000709,8,2153000709
4103002612,8,4103002612
3023001606,8,3023001606
2113000608,8,2113000608
1083003306,8,1083003306
2143000210,8,2143000210
4063001110,8,4063001110
2053003003,8,2053003003
2053001303,8,2053001303
2053003006,8,2053003006
2193000310,8,2193000310
4103002609,8,4103002609
4103003803,8,4103003803
2113000702,8,2113000702
4013000508,8,4013000508
1063000302,8,1063000302
2223002604,8,2223002604
1133002106,8,1133002106
3163001607,8,3163001607
2033000801,8,2033000801
4023001603,8,4023001603
3071000210,8,3071000210
2103000611,8,2103000611
1021002801,8,1021002801
2053003008,8,2053003008
1053001907,8,1053001907
2083000806,8,2083000806
3093000110,8,3093000110
4021000208,8,4021000208
402300160905,8,402300160905
1021000201,8,1021000201
3191000506,8,3191000506
3103000701,8,3103000701
4183002305,8,4183002305
2123000806,8,2123000806
2203000107,8,2203000107
3023000508,8,3023000508
3203002710,8,3203002710
1063000703,8,1063000703
1053002606,8,1053002606
3071000503,8,3071000503
3073001706,8,3073001706
4063000802,8,4063000802
