hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
1013000201,3302600.0,6242600.0,1316000.0,1316000.0,1986600.0,1986600.0,0.0,0.0,2670200.0,632400.0,2940000.0
1013000202,1374400.0,1611400.0,0.0,0.0,1374400.0,1374400.0,0.0,0.0,941200.0,433200.0,237000.0
1013000204,2631600.0,3010600.0,0.0,0.0,2007600.0,2007600.0,624000.0,624000.0,1653600.0,978000.0,379000.0
1013000206,5197800.0,5405800.0,0.0,0.0,5197800.0,5197800.0,0.0,0.0,3112200.0,2085600.0,208000.0
1013000210,1567200.0,2692200.0,0.0,0.0,1307200.0,1307200.0,500000.0,500000.0,1092000.0,475200.0,1125000.0
1013000212,578400.0,1052900.0,0.0,0.0,2603800.0,2603800.0,2502000.0,2502000.0,,578400.0,474500.0
101300021302,4878000.0,4999000.0,4367600.0,4438600.0,510400.0,510400.0,0.0,0.0,4134000.0,744000.0,121000.0
1021000102,47063668.0,53508668.0,0.0,0.0,47063200.0,47063200.0,0.0,0.0,21346468.0,25717200.0,6445000.0
1021000108,14872300.0,22177300.0,0.0,0.0,14872300.0,14872300.0,3600000.0,3600000.0,5344300.0,9528000.0,7305000.0
1021000111,23613200.0,38971200.0,0.0,4330000.0,23613200.0,23613200.0,4800000.0,4800000.0,8543600.0,15069600.0,15358000.0
1021000113,14419488.0,20189488.0,0.0,0.0,14419488.0,14419488.0,4800000.0,4800000.0,9032400.0,5387088.0,5770000.0
1021000201,4107200.0,4815700.0,0.0,450000.0,4107200.0,4107200.0,0.0,0.0,3114800.0,992400.0,708500.0
1021000203,6078000.0,8277000.0,0.0,0.0,6078000.0,6078000.0,0.0,0.0,4399200.0,1678800.0,2199000.0
1021000204,3229600.0,3469600.0,0.0,0.0,3229600.0,3229600.0,0.0,0.0,2485600.0,744000.0,240000.0
1021000207,4216400.0,4733900.0,0.0,0.0,4216400.0,4216400.0,0.0,0.0,2849600.0,1366800.0,517500.0
1021000212,7055000.0,7292000.0,624000.0,624000.0,6431000.0,6431000.0,0.0,0.0,4089800.0,2965200.0,237000.0
1021000213,14590648.0,16090648.0,0.0,0.0,14590648.0,14590648.0,3600000.0,3600000.0,6307600.0,8283048.0,1500000.0
1021000312,6759000.0,8600100.0,0.0,0.0,6759000.0,6759000.0,0.0,0.0,5202600.0,1556400.0,1841100.0
1021000313,6293600.0,7372100.0,0.0,0.0,6293600.0,6293600.0,0.0,0.0,4144400.0,2149200.0,1078500.0
1021000401,2173200.0,2173200.0,0.0,0.0,2173200.0,2173200.0,0.0,0.0,1029600.0,1143600.0,0.0
1021000402,18015700.0,19382700.0,0.0,0.0,18015700.0,18015700.0,6036000.0,6036000.0,4540900.0,13474800.0,1367000.0
1021000405,4668800.0,4964300.0,0.0,0.0,4304800.0,4304800.0,364000.0,364000.0,2849600.0,1819200.0,295500.0
102100040502,8350100.0,10097100.0,1404000.0,1404000.0,6946100.0,6946100.0,0.0,0.0,5170100.0,3180000.0,1747000.0
1021000406,7632400.0,9266400.0,0.0,0.0,7632400.0,7632400.0,0.0,0.0,4903600.0,2728800.0,1634000.0
1021000503,9405200.0,9565200.0,0.0,0.0,9405200.0,9405200.0,4800000.0,4800000.0,1710800.0,7694400.0,160000.0
1021000504,4177000.0,4667000.0,0.0,0.0,4177000.0,4177000.0,0.0,0.0,1479400.0,2697600.0,490000.0
1021000506,8401600.0,15036600.0,0.0,0.0,8401600.0,8401600.0,0.0,0.0,7274800.0,1126800.0,6635000.0
1021000604,7747600.0,11724600.0,0.0,0.0,7747600.0,7747600.0,0.0,0.0,4217200.0,3530400.0,3977000.0
1021000607,25236748.0,41936748.0,0.0,0.0,25231600.0,25231600.0,12000000.0,12000000.0,7123948.0,18112800.0,16700000.0
1021000608,9014200.0,9699200.0,0.0,0.0,8988200.0,8988200.0,26000.0,26000.0,6440200.0,2574000.0,685000.0
1021000610,8896800.0,11784300.0,0.0,0.0,8896800.0,8896800.0,0.0,0.0,4648800.0,4248000.0,2887500.0
1021000612,18611600.0,24376600.0,0.0,0.0,18611600.0,18611600.0,3600000.0,3600000.0,8028800.0,10582800.0,5765000.0
1021000701,38010000.0,42895000.0,1560000.0,1560000.0,36450000.0,36450000.0,0.0,0.0,18298800.0,19711200.0,4885000.0
1021000702,5658000.0,5806000.0,0.0,0.0,4748000.0,4748000.0,910000.0,910000.0,3697200.0,1960800.0,148000.0
1021000703,10415800.0,14923800.0,910000.0,940000.0,9505800.0,9505800.0,540000.0,540000.0,6190600.0,4225200.0,4508000.0
1021000705,4850000.0,5193000.0,1615200.0,1615200.0,3188000.0,3188000.0,46800.0,46800.0,2912000.0,1938000.0,343000.0
1021000710,39788400.0,47133400.0,0.0,0.0,39788400.0,39788400.0,0.0,0.0,14882400.0,24906000.0,7345000.0
1021000711,11913600.0,16023600.0,0.0,0.0,11913600.0,11913600.0,4800000.0,4800000.0,4274400.0,7639200.0,4110000.0
1021000805,7949000.0,8073500.0,0.0,15000.0,7949000.0,7949000.0,360000.0,360000.0,5119400.0,2829600.0,124500.0
1021000807,10112200.0,14103200.0,447200.0,447200.0,9665000.0,9665000.0,1800000.0,1800000.0,5005000.0,5107200.0,3991000.0
102100080803,3614000.0,4058000.0,104000.0,104000.0,1138800.0,1138800.0,2371200.0,2371200.0,3270800.0,343200.0,444000.0
1021000810,5722800.0,5806800.0,0.0,0.0,5722800.0,5722800.0,24000.0,24000.0,2324400.0,3398400.0,84000.0
1021000811,13516108.0,14062108.0,0.0,0.0,13516108.0,13516108.0,7200108.0,7200108.0,4396600.0,9119508.0,546000.0
1021000906,7043400.0,7230400.0,0.0,0.0,7043400.0,7043400.0,0.0,0.0,3315000.0,3728400.0,187000.0
1021001003,7294720.0,7593220.0,326400.0,336400.0,6968320.0,6968320.0,0.0,0.0,4735120.0,2559600.0,298500.0
1021001004,2711800.0,3135800.0,108000.0,108000.0,2603800.0,2603800.0,0.0,0.0,1385800.0,1326000.0,424000.0
1021001007,19531800.0,21147800.0,480000.0,480000.0,19051800.0,19051800.0,0.0,0.0,4001400.0,15530400.0,1616000.0
1021001011,4077400.0,6873400.0,0.0,80000.0,4077400.0,4077400.0,0.0,0.0,1370200.0,2707200.0,2796000.0
1021001102,4236700.0,4561700.0,0.0,40000.0,4236700.0,4236700.0,0.0,0.0,1756300.0,2480400.0,325000.0
1021001105,2932700.0,2967700.0,96000.0,96000.0,2836700.0,2836700.0,0.0,0.0,1457300.0,1475400.0,35000.0
1021001107,10975800.0,15144700.0,0.0,1256000.0,10705400.0,10705400.0,5070400.0,5070400.0,3471000.0,7504800.0,4168900.0
1021001109,18016400.0,24744400.0,3600000.0,3600000.0,14182400.0,14182400.0,234000.0,234000.0,7482800.0,10533600.0,6728000.0
102100110901,17115556.0,20485556.0,0.0,0.0,17115400.0,17115400.0,0.0,0.0,8218756.0,8896800.0,3370000.0
102100110904,3656500.0,3914000.0,924000.0,924000.0,2732500.0,2732500.0,0.0,0.0,1857700.0,1798800.0,257500.0
1021001110,3328500.0,3898500.0,338000.0,458000.0,2990500.0,2990500.0,0.0,0.0,1836900.0,1491600.0,570000.0
1021001202,6663200.0,7631700.0,0.0,0.0,4843200.0,4843200.0,1820000.0,1820000.0,1820000.0,4843200.0,968500.0
1021001205,7017800.0,8053700.0,104000.0,104000.0,6913800.0,6913800.0,0.0,0.0,3169400.0,3848400.0,1035900.0
1021001206,4589600.0,5225600.0,184000.0,229000.0,4301600.0,4301600.0,104000.0,104000.0,2756000.0,1833600.0,636000.0
1021001208,7407600.0,8759600.0,0.0,1275000.0,7407600.0,7407600.0,0.0,0.0,4102800.0,3304800.0,1352000.0
1021001210,14842600.0,17727600.0,0.0,0.0,14842600.0,14842600.0,0.0,0.0,8749000.0,6093600.0,2885000.0
1021001211,4042600.0,4289600.0,0.0,0.0,4042600.0,4042600.0,0.0,0.0,1760200.0,2282400.0,247000.0
1021001301,26037000.0,31837000.0,520000.0,520000.0,25517000.0,25517000.0,0.0,0.0,8463000.0,17574000.0,5800000.0
1021001302,5138000.0,5196000.0,0.0,0.0,5138000.0,5138000.0,0.0,0.0,3692000.0,1446000.0,58000.0
1021001304,10541800.0,13357500.0,0.0,0.0,10541800.0,10541800.0,1800000.0,1800000.0,6845800.0,3696000.0,2815700.0
1021001305,3867200.0,3967200.0,0.0,0.0,3867200.0,3867200.0,0.0,0.0,2912000.0,955200.0,100000.0
1021001306,5074800.0,6905800.0,168000.0,168000.0,4906800.0,4906800.0,0.0,0.0,2605200.0,2469600.0,1831000.0
1021001308,4993400.0,5532400.0,24000.0,24000.0,4969400.0,4969400.0,0.0,0.0,2732600.0,2260800.0,539000.0
1021001309,1202200.0,1217200.0,0.0,0.0,1202200.0,1202200.0,0.0,0.0,793000.0,409200.0,15000.0
1021001402,6444724.0,6770724.0,312000.0,504000.0,6132724.0,6132724.0,2160000.0,2160000.0,2649400.0,3795324.0,326000.0
102100140202,5772800.0,5816300.0,180000.0,180000.0,5592800.0,5592800.0,0.0,0.0,3395600.0,2377200.0,43500.0
102100140204,6810600.0,7503600.0,0.0,0.0,6810600.0,6810600.0,0.0,0.0,4500600.0,2310000.0,693000.0
1021001403,3303100.0,3323100.0,78000.0,78000.0,3225100.0,3225100.0,0.0,10000.0,1413100.0,1890000.0,20000.0
1021001405,6167200.0,6736200.0,312000.0,312000.0,5855200.0,5855200.0,0.0,0.0,4123600.0,2043600.0,569000.0
1021001406,6215000.0,7816500.0,0.0,0.0,6215000.0,6215000.0,0.0,0.0,3512600.0,2702400.0,1601500.0
1021001407,6201800.0,6885800.0,83200.0,83200.0,5806600.0,5806600.0,312000.0,312000.0,3263000.0,2938800.0,684000.0
1021001408,11892000.0,15327500.0,408000.0,408000.0,10756000.0,10756000.0,3248000.0,3298000.0,6942000.0,4950000.0,3435500.0
