hh,urban,year,month,sregion,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_inc,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation,sex,age,father_educ,father_ocup,ethnic,bednet,writeread,classeduc,illdays,region,wave,age_sq,familysize,shock,climate,prices,job,health,aggregate,idiosyn,pests,d_shock,d_climate,d_prices,d_job,d_health,d_aggregate,d_idiosyn,d_pests,region2,region3,region4,female,lnc,lnctotal_dur,lnctotal_gift,lncfood,lncnodur,lnwage_total,lnbs_profit,lnprofit_agr,lnprofit_ls,lntotal_agrls,lny,lninctotal_trans,u_c,u_y
1013000201,0,2012,2,2,0.9705811603941707,1315.3646236117327,2486.3123597646104,524.138510468431,1063.4913758759913,251.87324773574147,325.0276101295782,2130.8062545639104,3020000.0,0.0,0.0,0.0,2455.8338646934885,2455.8338646934885,0.1323491848542225,0.0,0.0,0.0,0.8676508151457775,1.0,businessman,2,46.0,,,30.0,1.0,1.0,12.0,,1,2011-2012,2116.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,7.181869186489888,7.81855591170969,6.261755982346263,6.969312525416995,5.528925975796318,5.783910132966186,7.6642557103510525,-inf,-inf,-inf,7.806221642310255,7.806221642310255,,2.7786783200277556
1013000202,0,2012,3,2,0.9743743190685761,545.2671768187492,639.2924394104573,0.0,373.4032791194752,171.86389769927396,,,136000.0,,,,,0.0,,0.0,,0.0,,0.0,nothing,2,43.0,,,28.0,0.0,1.0,,4.0,1,2011-2012,1849.0,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,6.301275907233407,6.460362001346511,-inf,5.922659012856624,5.146702871130252,,,,,,,-inf,,
1013000204,0,2012,3,2,0.9743743190685761,1044.0374727271685,1194.398546660744,0.0,656.0344903867024,388.00298234046613,,54.35215601292829,294000.0,247.56018505158576,0.0,247.56018505158576,301.91234106451407,301.91234106451407,,0.0,0.8199737187910644,1.0,0.1800262812089356,0.0,farmer,1,35.0,,,17.0,1.0,1.0,16.0,,1,2011-2012,1225.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.9508506612152585,7.08539802942982,-inf,6.4862133643709745,5.961013026038233,,3.995484281831541,-inf,5.511653724372843,5.511653724372843,5.710136713865102,5.710136713865102,,-1.5114439488777176
1013000206,0,2012,9,1,0.992779350204739,2023.8991477479851,2104.8893787556385,0.0,1211.8163314520143,812.082816295971,847.3602919175739,66.19393880433212,2700000.0,0.0,0.0,0.0,913.5542307219059,913.5542307219059,0.9275424090017901,1.0,0.0,0.0,0.07245759099820988,0.0,worker,1,32.0,,,17.0,1.0,0.0,15.0,,1,2011-2012,1024.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7.612781200978136,7.652018193075565,-inf,7.099875613439396,6.699602325473279,6.742125978370899,4.192588899904249,-inf,-inf,-inf,6.817342739925607,6.817342739925607,,-0.3635385631149397
1013000210,0,2012,2,2,0.9705811603941707,624.1868340472075,1072.2535698199924,0.0,434.92344485678314,189.26338919042433,,,1000000.0,103.55320115637694,0.0,103.55320115637694,103.55320115637694,103.55320115637694,,0.0,1.0,1.0,,0.0,farmer,1,39.0,,,17.0,0.0,0.0,17.0,,1,2011-2012,1521.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.436449737091332,6.977517852670993,-inf,6.075170026765851,5.243139638509436,,,-inf,4.640085501476528,4.640085501476528,4.640085501476528,4.640085501476528,,-2.5872356466696402
1013000212,0,2012,3,9,0.9743743190685761,229.46924845166222,417.7181391679722,0.0,,229.46924845166222,1809.0936599923577,47.60772789453573,5040000.0,0.0,0.0,0.0,1856.7013878868934,1856.7013878868934,0.9743589743589743,1.0,0.0,0.0,0.02564102564102564,0.0,worker,1,51.0,,,25.0,1.0,0.0,17.0,,4,2011-2012,2601.0,6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,5.435769026847971,6.0348068968661295,-inf,,5.435769026847971,7.500581258511848,3.862995098785462,-inf,-inf,-inf,7.5265567449151085,7.5265567449151085,,-0.19868252581961254
101300021302,0,2012,4,2,0.9937255544549257,1897.5681216753997,1944.6377696300374,1699.0197884849272,1608.1481375576263,289.41998411777314,,35.01048194973062,1860000.0,0.0,0.0,0.0,35.01048194973062,35.01048194973062,,0.0,0.0,0.0,1.0,1.0,businessman,2,29.0,,,30.0,0.0,1.0,,,1,2011-2012,841.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,7.548328409376567,7.572831002014272,7.437806768740613,7.382838570842415,5.667878865433794,,3.5556475009309665,-inf,-inf,-inf,3.5556475009309665,3.5556475009309665,,
1021000102,1,2012,6,1,0.9883365166466089,18407.84581353224,20928.65584194344,0.0,8349.168441514163,10058.677372018077,24354.222333254715,1388.4989295360372,23000000.0,0.0,0.0,0.0,25742.72126279075,25742.72126279075,0.9460624649833345,1.0,0.0,0.0,0.05393753501666556,0.0,worker,1,41.0,,,17.0,1.0,0.0,34.0,,1,2011-2012,1681.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9.820532255622552,9.948874591779253,-inf,9.029917225043087,9.216190961055807,10.10046051525476,7.2359785357966375,-inf,-inf,-inf,10.15590719672717,10.15590719672717,,2.5076142368332475
1021000108,1,2012,6,1,0.9883365166466089,5816.950036546143,8674.128819718186,0.0,2090.2971349632235,3726.6529015829187,,305.078638038904,14420000.0,0.0,0.0,0.0,305.078638038904,305.078638038904,,0.0,0.0,0.0,1.0,1.0,businessman,1,72.0,,,17.0,,0.0,22.0,,1,2011-2012,5184.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.668531354660558,9.06810017553223,-inf,7.645061504692546,8.223265764362312,,5.720569573010814,-inf,-inf,-inf,5.720569573010814,5.720569573010814,,
1021000111,1,2012,6,1,0.9883365166466089,9235.747302231086,15242.6674599253,0.0,3341.628015319461,5894.119286911624,4109.46792335289,383.3039298437511,38600000.0,0.0,0.0,0.0,4492.771853196641,4492.771853196641,0.9146843101834723,1.0,0.0,0.0,0.08531568981652773,0.0,worker,1,49.0,,,17.0,1.0,0.0,,7.0,1,2011-2012,2401.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9.130836810012509,9.631853844103468,-inf,8.114213396951826,8.681710401795186,8.321048840071509,5.948828224991794,-inf,-inf,-inf,8.410225129502832,8.410225129502832,,
1021000113,1,2012,6,1,0.9883365166466089,5639.84328238246,7896.642950952301,0.0,3532.810628490508,2107.0326538919526,,,13650000.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,nothing,1,48.0,,,17.0,1.0,0.0,61.0,,1,2011-2012,2304.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.637611557294424,8.974193005223855,-inf,8.169849045155663,7.6530359114970805,,,-inf,-inf,-inf,,-inf,,
1021000201,1,2011,12,1,0.9525149324220943,1666.8483772103093,1954.3829689646686,0.0,1264.0970309054032,402.7513463049063,1059.8155741580858,,0.0,0.0,0.0,0.0,1059.8155741580858,1059.8155741580858,1.0,1.0,0.0,0.0,,0.0,worker,1,42.0,,,35.0,1.0,0.0,17.0,,1,2011-2012,1764.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7.418689923131375,7.577829805704103,-inf,7.142113336717331,5.998319364832145,6.965850185325365,,-inf,-inf,-inf,6.965850185325365,6.965850185325365,,-0.3470341692152932
