id,purch_value,own_value,gift_value,total_value
H04206-04-01,227300.0,,,227300.0
H04207-04-01,430500.0,,,430500.0
H04208-04-01,73000.0,,,73000.0
H04208-04-02,1136600.0,,,1136600.0
H04209-04-01,1052000.0,,80000.0,1132000.0
H04210-04-01,92000.0,,,92000.0
H04501-04-01,526500.0,,,526500.0
H04505-04-01,5331000.0,,250000.0,5581000.0
H04508-04-02,869000.0,,,869000.0
H04508-04-03,3250000.0,5000.0,300000.0,3555000.0
H04508-04-04,230000.0,,,230000.0
H04509-04-01,3090200.0,,,3090200.0
H04602-04-01,464000.0,,105000.0,569000.0
H04603-04-01,541000.0,,20000.0,561000.0
H04604-04-01,80000.0,,20000.0,100000.0
H04606-04-01,307000.0,,,307000.0
H04606-04-02,286000.0,,3259001.0,3545001.0
H04607-04-01,2919701.0,,,2919701.0
H04608-04-01,990000.0,,,990000.0
H04609-04-01,451500.0,,,451500.0
H04610-04-01,56500.0,,,56500.0
H04610-04-02,104500.0,,,104500.0
H04610-04-03,297000.0,,,297000.0
H04801-04-01,750600.0,,,750600.0
H04802-04-01,92000.0,,30000.0,122000.0
H04802-04-02,168000.0,,,168000.0
H04802-04-03,1856000.0,,,1856000.0
H04803-04-02,360000.0,,20000.0,380000.0
H04804-04-01,4855004.0,,210000.0,5065004.0
H04805-04-01,,,75000.0,75000.0
H04806-04-01,2554000.0,,,2554000.0
H04808-04-01,1657000.0,,,1657000.0
H04808-04-02,578000.0,,,578000.0
H04810-04-01,64000.0,,,64000.0
H04903-04-01,133500.0,,,133500.0
H04905-04-01,384000.0,,70000.0,454000.0
H04907-04-01,383800.0,,,383800.0
H04908-04-01,473000.0,,,473000.0
H04909-04-01,470500.0,,,470500.0
H04910-04-01,4600000.0,,,4600000.0
H04912-04-01,476000.0,,,476000.0
H04913-04-01,71000.0,,,71000.0
H04913-04-02,56000.0,,,56000.0
H04913-04-03,40000.0,,,40000.0
H04913-04-04,35000.0,,,35000.0
H04913-04-05,263000.0,,,263000.0
H04913-04-06,674500.0,,,674500.0
H05002-04-01,22000.0,,103000.0,125000.0
H05003-04-01,192000.0,,,192000.0
H05003-04-02,40000.0,,,40000.0
H05004-04-01,483500.0,24000.0,530000.0,1037500.0
H05005-04-01,255000.0,,160000.0,415000.0
H05006-04-01,33500.0,,,33500.0
H05007-04-01,1649000.0,,900000.0,2549000.0
H05008-04-01,525000.0,,,525000.0
H05009-04-01,1877000.0,,500000.0,2377000.0
H05010-04-01,326500.0,,,326500.0
H05101-04-01,266000.0,,950000.0,1216000.0
H05102-04-01,707000.0,,,707000.0
H05103-04-01,289200.0,,,289200.0
H05104-04-01,170000.0,,,170000.0
H05105-04-01,1192000.0,,,1192000.0
H05106-04-01,430500.0,,80000.0,510500.0
H05107-04-01,70000.0,20000.0,20000.0,110000.0
H05108-04-01,3462000.0,,1500000.0,4962000.0
H05109-04-01,247000.0,,100000.0,347000.0
H05110-04-01,58000.0,,,58000.0
H05301-04-01,899700.0,,,899700.0
H05302-04-01,1466000.0,,,1466000.0
H05303-04-01,1361850.0,,,1361850.0
H05304-04-01,481000.0,,140000.0,621000.0
H05305-04-01,876500.0,10000.0,,886500.0
H05305-04-02,1023000.0,350000.0,,1373000.0
H05305-04-03,2550000.0,,,2550000.0
H05305-04-05,3925001.0,,1123500.0,5048501.0
H05306-04-01,126800.0,,,126800.0
H05306-04-02,27000.0,,,27000.0
H05308-04-01,340500.0,,,340500.0
H05309-04-01,1426500.0,,50000.0,1476500.0
H05310-04-01,19500.0,,,19500.0
H05310-04-02,357900.0,,100000.0,457900.0
H05403-04-01,2861000.0,,180000.0,3041000.0
H05404-04-01,284000.0,,35000.0,319000.0
