hh,own_value
H00101-04-01,468000.0
H00104-04-01,832000.0
H00208-04-01,390000.0
H00209-04-01,
H00211-04-01,
H00213-04-01,
H00301-04-01,
H00302-04-01,
H00307-04-01,
H00312-04-01,
H00313-04-01,
H00606-04-01,
H00704-04-01,
H00707-04-01,
H00712-04-01,
H00801-04-01,
H00802-04-01,
H00803-04-01,
H00805-04-01,
H00809-04-01,
H00810-04-02,
H00810-04-03,
H00811-04-01,
H01209-04-01,
H01209-04-02,
H01209-04-03,
H01210-04-01,
H01401-04-01,
H01406-04-01,
H01409-04-01,
H01601-04-01,
H01604-04-01,
H01605-04-01,
H01607-04-01,
H01612-04-01,
H01806-04-01,
H01806-04-02,
H01809-04-01,
H01813-04-01,
H02108-04-01,
H02110-04-01,
H02111-04-01,
H02113-04-01,
H02203-04-01,
H02205-04-01,
H02206-04-01,
H02207-04-01,
H02304-04-01,
H02305-04-01,286000.0
H02401-04-01,
H02407-04-01,
H02409-04-01,
H02412-04-01,
H02507-04-01,
H02601-04-01,
H02601-04-02,
H02602-04-01,
H02608-04-01,
H02608-04-02,
H02609-04-01,
H02703-04-02,
H02705-04-01,
H02705-04-02,
H02706-04-01,
H02710-04-01,
H02711-04-01,
H02711-04-02,
H02711-04-03,
H02802-04-01,
H02811-04-01,
H03001-04-01,
H03003-04-01,
H03006-04-01,
H03010-04-01,
H03401-04-01,
H03408-04-01,
H03409-04-01,
H03409-04-02,
H03410-04-02,
H03503-04-01,
H03515-04-01,
H03601-04-01,
H03602-04-04,
H03603-04-05,
H03604-04-04,
H03604-04-08,
H03604-04-09,
H03605-04-02,676000.0
H03607-04-01,
H03608-04-01,
H03704-04-01,
H03705-04-01,275600.0
H03706-04-01,124800.0
H03707-04-01,364000.0
H03707-04-02,
H03709-04-01,
H03711-04-02,
H03711-04-03,
H03711-04-04,
H03807-04-01,
H03809-04-01,
H03810-04-01,
H03811-04-01,
H03813-04-01,
H03901-04-01,
H03903-04-01,93600.0
H03906-04-01,
H03907-04-01,109200.0
H03908-04-01,
H03909-04-01,
H03909-04-02,546000.0
H03910-04-01,2464800.0
H04001-04-01,187200.0
H04002-04-01,187200.0
H04003-04-01,109200.0
H04004-04-01,62400.0
H04005-04-01,
H04006-04-01,
H04009-04-01,
H04010-04-01,
H04010-04-02,
H04011-04-01,
H04011-04-02,
H04201-04-01,1518400.0
H04202-04-01,
H04203-04-01,78000.0
H04204-04-01,
H04205-04-01,
H04206-04-01,
H04207-04-01,
H04208-04-02,
H04209-04-01,93600.0
H04210-04-01,
H04505-04-01,
H04508-04-02,
H04508-04-03,140400.0
H04508-04-04,
H04509-04-01,670800.0
H04602-04-01,
H04603-04-01,182000.0
