profit_agra,profit_agrb,profit_ls,profit_agr,total_agrls,hh
282214.2857142857,195000.0,-9000.0,477214.2857142857,468214.2857142857,H08302-04-04
2561000.0,4483666.668156782,1300000.0,7044666.668156782,8344666.668156782,H08303-04-01
56000.0,365500.00173846877,,421500.00173846877,421500.00173846877,H08304-04-01
591000.0,504166.6666666667,434585.1771527543,1095166.6666666667,1529751.843819421,H08307-04-03
82466.66666666667,527999.9973922968,-14000.0,610466.6640589634,596466.6640589634,H08308-04-01
92000.0,133706.6666666667,,225706.6666666667,225706.6666666667,H08309-04-01
226333.33333333334,115833.33333333334,,342166.6666666667,342166.6666666667,H08310-04-01
1288750.0,941333.3333333334,520000.0,2230083.3333333335,2750083.3333333335,H08402-04-01
1044000.0017881393,1112500.0099341078,104000.0,2156500.011722247,2260500.011722247,H08404-04-01
2649000.0,3793683.333333333,-85000.0,6442683.333333333,6357683.333333333,H08405-04-01
1668000.0,1101666.6670143604,516000.0,2769666.6670143604,3285666.6670143604,H08406-04-01
2690000.0,,,2690000.0,2690000.0,H08406-04-04
,718333.3333333334,,718333.3333333334,718333.3333333334,H08408-04-01
1129500.0,1643333.3333333333,692054.9018218848,2772833.333333333,3464888.235155218,H08409-04-01
2725571.4321477073,1961666.6666666667,1290800.0,4687238.098814374,5978038.098814374,H08409-04-02
252500.0,486630.76923076925,,739130.7692307692,739130.7692307692,H08410-04-01
122000.0,121916.66666666667,-3000.0,243916.6666666667,240916.6666666667,H08501-04-01
511000.0007152557,910333.3333333334,,1421333.334048589,1421333.334048589,H08502-04-01
,562993.5880374066,,562993.5880374066,562993.5880374066,H08503-04-01
79000.0,248000.0001490116,101000.0,327000.0001490116,428000.0001490116,H08503-04-03
194000.0,143000.0,62400.0,337000.0,399400.0,H08504-04-01
,578918.9756255731,624000.0,578918.9756255731,1202918.9756255732,H08505-04-01
565595.2385621411,254743.58974358975,,820338.8283057308,820338.8283057308,H08506-04-01
,341250.0009685755,,341250.0009685755,341250.0009685755,H08507-04-01
877500.0001788139,105000.0,168458.82352941175,982500.0001788139,1150958.8237082257,H08508-04-01
71000.0,229833.33333333334,,300833.3333333334,300833.3333333334,H08509-04-01
,288375.0019930304,,288375.0019930304,288375.0019930304,H08510-04-01
,131113.33333333334,,131113.33333333334,131113.33333333334,H08602-04-01
,82333.33333333334,,82333.33333333334,82333.33333333334,H08602-04-02
189666.66666666666,183771.79487179487,146380.34188034188,373438.4615384615,519818.8034188034,H08602-04-03
2106095.224584849,1088809.5238095238,335000.0,3194904.748394373,3529904.748394373,H08603-04-01
612333.3333333334,236020.0,-8000.0,848353.3333333334,840353.3333333334,H08605-04-01
280000.0,461666.6666666667,-65000.0,741666.6666666667,676666.6666666667,H08609-04-01
404571.4285714286,694333.3333333334,320760.68376068375,1098904.761904762,1419665.4456654456,H08611-04-01
230000.0,302166.6666666667,,532166.6666666667,532166.6666666667,H08701-04-01
269000.0,651666.6666666666,,920666.6666666666,920666.6666666666,H08703-04-01
-30000.0,457500.0,,427500.0,427500.0,H08704-04-01
276428.5714285714,192166.6666666667,,468595.2380952381,468595.2380952381,H08706-04-01
60000.0,1223214.2857142857,,1283214.2857142857,1283214.2857142857,H08707-04-01
174000.0,152000.0,,326000.0,326000.0,H08708-04-01
800000.0017881393,754666.6645805042,1499600.0,1554666.6663686435,3054266.6663686438,H08708-04-02
370500.0,95000.0,,465500.0,465500.0,H08709-04-01
1170000.0,3230261.9050052906,,4400261.905005291,4400261.905005291,H08710-04-01
,1065000.0,214995.77889447237,1065000.0,1279995.7788944724,H08801-04-01
234000.0,305698.71794871794,320760.68376068375,539698.717948718,860459.4017094017,H08802-04-01
502500.0,807256.4113143927,,1309756.4113143927,1309756.4113143927,H08802-04-02
,197750.0,443473.48017621145,197750.0,641223.4801762115,H08803-04-01
234750.0,334000.0,,568750.0,568750.0,H08804-04-01
,236400.0,,236400.0,236400.0,H08805-04-01
252666.66666666663,785685.8940831359,94258.82352941176,1038352.5607498025,1132611.3842792143,H08806-04-01
1777952.380952381,1141500.0,1055882.0512820513,2919452.380952381,3975334.4322344325,H08811-04-01
44000.0,519294.87179487175,,563294.8717948718,563294.8717948718,H09003-04-01
403500.0,636166.6666666667,,1039666.6666666667,1039666.6666666667,H09005-04-01
707071.4285714286,905828.2051282052,1181000.0,1612899.6336996339,2793899.633699634,H09007-04-01
1833000.0,,1550000.0,1833000.0,3383000.0,H09008-04-01
2935000.000357628,1282500.0,,4217500.000357628,4217500.000357628,H09010-04-01
70000.0,264875.0,,334875.0,334875.0,H09101-04-01
1293500.0,1903394.358974359,69500.0,3196894.358974359,3266394.358974359,H09102-04-01
566500.0,2718750.010430813,993776.2202667436,3285250.010430813,4279026.230697556,H09103-04-01
611800.0,2098050.0,,2709850.0,2709850.0,H09105-04-01
,4049461.5384615385,-40000.0,4049461.5384615385,4009461.5384615385,H09108-04-01
185600.0,812625.0,,998225.0,998225.0,H09109-04-01
1572776.1904761905,3593717.9487179485,,5166494.139194139,5166494.139194139,H09110-04-01
448714.2857142857,709961.5392065966,,1158675.8249208822,1158675.8249208822,H09111-04-01
,125166.66562358529,529541.0256410256,125166.66562358529,654707.691264611,H09203-04-01
289600.0,310333.3329608043,,599933.3329608042,599933.3329608042,H09206-04-01
572500.0028063853,1227500.0,591297.973568282,1800000.0028063853,2391297.976374667,H09208-04-01
1068571.4285714286,1695000.0,228760.68376068375,2763571.4285714286,2992332.112332112,H09210-04-01
,341500.0,320760.68376068375,341500.0,662260.6837606838,H09410-04-01
66450.0,38500.0,,104950.0,104950.0,H10002-04-01
165000.0,30000.0,1641200.0,195000.0,1836200.0,H10004-04-01
,448000.0,,448000.0,448000.0,H10010-04-01
,17630.76923076923,,17630.76923076923,17630.76923076923,H10311-04-01
300000.00186264527,560192.3091824239,220736.74008810573,860192.3110450691,1080929.051133175,H10701-04-01
,172666.6666666667,,172666.6666666667,172666.6666666667,H10702-04-01
547666.6671633719,1458461.5384156886,-4500.0,2006128.2055790606,2001628.2055790606,H10703-04-01
476999.99216198886,130000.0,,606999.9921619889,606999.9921619889,H10704-04-01
373000.00149011624,412833.3333333334,-1000.0,785833.3348234496,784833.3348234496,H10704-04-02
655666.6647791862,1230525.6387904668,302122.38283930667,1886192.303569653,2188314.68640896,H10706-04-01
875000.0,570128.2051282051,209995.77889447237,1445128.205128205,1655123.9840226774,H10706-04-02
72000.0,265288.4615384615,778000.0,337288.4615384615,1115288.4615384615,H10708-04-01
518000.00149011624,554999.9977648256,,1072999.999254942,1072999.999254942,H10709-04-01
150000.0,,-70000.0,150000.0,80000.0,H10710-04-01
79000.0,91333.33386232455,-1000.0,170333.33386232454,169333.33386232454,H10801-04-01
506000.00044703484,533333.3353201546,-2200.0,1039333.3357671894,1037133.3357671894,H10802-04-01
307000.0,,484000.0,307000.0,791000.0,H10803-04-01
167000.0,,599909.6705448248,167000.0,766909.6705448248,H10803-04-03
-16000.0,72600.0,-79600.0,56600.0,-23000.0,H10804-04-01
325000.00178813934,835000.0007450581,299658.82352941175,1160000.0025331974,1459658.8260626092,H10805-04-01
9999.99962747097,77500.0,,87499.99962747097,87499.99962747097,H10806-04-01
1590000.0,,,1590000.0,1590000.0,H10807-04-01
,35500.0,-2900.0,35500.0,32600.0,H10809-04-01
117000.00096857546,809269.229502632,-2900.0,926269.2304712075,923369.2304712075,H10905-04-01
501000.0,571333.3333333333,1229797.8894472362,1072333.3333333333,2302131.2227805695,H10909-04-01
220000.0,427500.0,-3000.0,647500.0,644500.0,H10910-04-01
390000.00186264515,213000.0,160280.34188034188,603000.0018626451,763280.343742987,H11002-04-01
111000.0,,,111000.0,111000.0,H11006-04-01
903333.3346247673,,,903333.3346247673,903333.3346247673,H11007-04-01
,248500.0,,248500.0,248500.0,H11009-04-01
175999.9986588955,177500.0,,353499.9986588955,353499.9986588955,H11010-04-01
640000.0,,-36500.0,640000.0,603500.0,H11011-04-01
-95750.0,150000.0,-127200.0,54250.0,-72950.0,H11502-04-01
-6000.0,44076.92307692308,,38076.92307692308,38076.92307692308,H11504-04-01
240000.0017881393,824999.9973922968,530000.0,1064999.9991804361,1594999.9991804361,H11505-04-01
,,,,,H11510-04-01
,250000.0,624000.0,250000.0,874000.0,H11801-04-01
675000.0,350000.0,-1000.0,1025000.0,1024000.0,H11804-04-01
,,-100.0,,-100.0,H11805-04-01
122400.0,146666.66443149227,-100.0,269066.6644314923,268966.6644314923,H11806-04-01
785833.3368475238,331794.871749022,50712.24669603525,1117628.2085965457,1168340.4552925809,H11808-04-01
288000.0,,311900.0,288000.0,599900.0,H11809-04-01
73000.0,664333.3348234495,37800.0,737333.3348234495,775133.3348234495,H11810-04-01
165000.0002682209,358557.69007251796,432300.0,523557.69034073886,955857.6903407389,H11901-04-01
-163500.0,113671.15384615384,-18000.0,-49828.846153846156,-67828.84615384616,H11907-04-01
76250.00149011606,985384.6161296734,-2500.0,1061634.6176197894,1059134.6176197894,H11908-04-01
129500.0,639000.0,626200.0,768500.0,1394700.0,H11910-04-01
240000.0,105000.0,171097.8894472362,345000.0,516097.8894472362,H12003-04-02
795000.0131130223,1358942.309182424,79000.0,2153942.3222954464,2232942.3222954464,H12005-04-01
,75833.33333333334,,75833.33333333334,75833.33333333334,H12006-04-01
200000.00074505806,437500.0014901161,,637500.0022351742,637500.0022351742,H12007-04-01
1006000.0007450581,876692.3123116677,895600.0,1882692.3130567258,2778292.313056726,H12008-04-01
120000.00074505806,257730.7699758273,,377730.77072088537,377730.77072088537,H12009-04-01
752000.0,208333.3329608043,-23600.0,960333.3329608043,936733.3329608043,H12010-04-01
297333.3341653148,391528.8472714332,-200.0,688862.181436748,688662.181436748,H12409-04-01
48999.999441206455,,764300.0,48999.999441206455,813299.9994412065,H12411-04-01
144000.00074505806,225192.3076923077,-1000.0,369192.30843736575,368192.30843736575,H12501-04-01
340999.99962747097,,,340999.99962747097,340999.99962747097,H12502-04-01
-12000.0,,,-12000.0,-12000.0,H12504-04-01
304714.28645934374,776089.7413545692,295648.986784141,1080804.0278139128,1376453.0145980539,H12506-04-01
,,,,,H12509-04-01
,475000.0,348000.0,475000.0,823000.0,H12510-04-01
,,,,,H12512-04-01
85000.00102818021,,,85000.00102818021,85000.00102818021,H12601-04-01
,,66412.24669603525,,66412.24669603525,H12604-04-01
764333.3359410368,1545493.5897435897,-53000.0,2309826.9256846267,2256826.9256846267,H12605-04-01
171000.0014901162,,-8000.0,171000.0014901162,163000.0014901162,H12607-04-01
240714.2843731812,323230.7728629272,-37500.0,563945.0572361083,526445.0572361083,H12610-04-01
190000.0,168564.10405421868,-1000.0,358564.1040542187,357564.1040542187,H12610-04-02
955333.3333333334,404000.0,253000.0,1359333.3333333335,1612333.3333333335,H12611-04-01
98000.00074505806,271025.64102564106,-21000.0,369025.6417706991,348025.6417706991,H12701-04-01
64000.00074505806,,,64000.00074505806,64000.00074505806,H12703-04-01
33000.0,,,33000.0,33000.0,H12704-04-01
,198346.15384615387,-22750.0,198346.15384615387,175596.15384615387,H12705-04-01
