,sex,age,father_educ,father_ocup,ethnic,bednet,hh,writeread,classeduc,illdays
1892,1.0,26.0,,,35.0,1.0,H07007-04-02,0.0,61.0,7.0
1893,2.0,46.0,,,17.0,0.0,H07008-04-01,1.0,12.0,
1901,1.0,63.0,,,17.0,1.0,H07009-04-01,0.0,17.0,
1905,1.0,54.0,,,17.0,1.0,H07010-04-01,0.0,41.0,7.0
1918,2.0,26.0,17.0,19.0,18.0,1.0,H07201-04-01,0.0,17.0,
1922,1.0,34.0,,,17.0,0.0,H07202-04-01,0.0,14.0,2.0
1929,2.0,28.0,,,35.0,,H07202-04-02,1.0,13.0,14.0
1932,1.0,28.0,,,35.0,0.0,H07203-04-01,0.0,16.0,3.0
1939,2.0,63.0,,,47.0,0.0,H07204-04-01,1.0,12.0,7.0
1946,2.0,64.0,,,35.0,0.0,H07205-04-01,1.0,15.0,30.0
1948,1.0,39.0,,,96.0,1.0,H07206-04-01,0.0,16.0,
1957,1.0,29.0,,,35.0,1.0,H07207-04-01,0.0,17.0,5.0
1961,1.0,48.0,,,47.0,0.0,H07208-04-01,1.0,12.0,30.0
1962,1.0,48.0,,,47.0,0.0,H07208-04-01,1.0,12.0,30.0
1963,1.0,48.0,,,47.0,0.0,H07208-04-02,1.0,,30.0
1964,1.0,48.0,,,47.0,0.0,H07208-04-02,1.0,,30.0
1965,1.0,48.0,,,47.0,,H07208-04-01,1.0,12.0,30.0
1966,1.0,48.0,,,47.0,,H07208-04-01,1.0,12.0,30.0
1967,1.0,48.0,,,47.0,,H07208-04-02,1.0,,30.0
1968,1.0,48.0,,,47.0,,H07208-04-02,1.0,,30.0
1981,2.0,41.0,,,34.0,1.0,H07208-04-02,0.0,13.0,
1988,2.0,65.0,,,18.0,1.0,H07209-04-01,1.0,,14.0
1990,1.0,33.0,,,17.0,1.0,H07210-04-01,0.0,33.0,7.0
1999,1.0,81.0,,,35.0,1.0,H07302-04-01,0.0,,21.0
2003,1.0,31.0,,1.0,28.0,1.0,H07303-04-01,1.0,,7.0
2013,1.0,66.0,,,35.0,1.0,H07304-04-01,0.0,21.0,
2016,1.0,21.0,,,17.0,0.0,H07304-04-02,0.0,17.0,7.0
2017,1.0,78.0,,,35.0,1.0,H07305-04-01,1.0,13.0,20.0
2018,2.0,52.0,,,47.0,0.0,H07306-04-01,0.0,16.0,14.0
2021,2.0,61.0,,,35.0,1.0,H07307-04-01,1.0,11.0,5.0
2027,1.0,60.0,23.0,19.0,34.0,,H07309-04-01,0.0,34.0,14.0
2032,1.0,72.0,,,35.0,1.0,H07310-04-01,0.0,34.0,14.0
2056,1.0,63.0,,,35.0,0.0,H07311-04-01,0.0,14.0,3.0
2058,1.0,45.0,,,45.0,1.0,H07403-04-01,0.0,15.0,
2060,1.0,39.0,12.0,21.0,34.0,1.0,H07404-04-01,0.0,17.0,
2064,2.0,24.0,,,58.0,0.0,H07406-04-01,0.0,31.0,14.0
2069,2.0,31.0,,,34.0,1.0,H07408-04-01,0.0,16.0,3.0
2074,1.0,27.0,,,17.0,1.0,H07408-04-02,0.0,17.0,7.0
2079,2.0,40.0,,,30.0,1.0,H07408-04-03,0.0,15.0,15.0
2085,1.0,34.0,15.0,4.0,35.0,1.0,H07410-04-01,0.0,17.0,
2093,1.0,36.0,17.0,5.0,57.0,0.0,H07412-04-01,0.0,32.0,
2097,1.0,36.0,31.0,19.0,34.0,0.0,H07413-04-01,1.0,,
2104,2.0,26.0,13.0,5.0,17.0,1.0,H07501-04-01,0.0,15.0,2.0
2109,1.0,51.0,,,17.0,,H07502-04-01,0.0,15.0,
2120,1.0,36.0,,,17.0,1.0,H07502-04-02,0.0,32.0,
2123,1.0,30.0,,,17.0,1.0,H07502-04-03,0.0,33.0,2.0
2126,1.0,26.0,,88.0,17.0,1.0,H07502-04-04,0.0,14.0,
2131,2.0,52.0,,,17.0,1.0,H07502-04-06,0.0,16.0,6.0
2137,1.0,24.0,,18.0,17.0,1.0,H07502-04-07,0.0,61.0,
2139,2.0,49.0,,,34.0,1.0,H07504-04-01,0.0,17.0,
2147,2.0,58.0,,,17.0,1.0,H07506-04-01,1.0,12.0,
2151,1.0,53.0,,,30.0,1.0,H07507-04-01,1.0,13.0,14.0
2157,2.0,50.0,,10.0,33.0,,H07508-04-01,1.0,,
2162,1.0,54.0,,7.0,17.0,1.0,H07509-04-01,0.0,16.0,
2168,1.0,25.0,16.0,5.0,17.0,1.0,H07509-04-02,0.0,34.0,
2170,1.0,42.0,,88.0,17.0,,H07509-04-03,0.0,16.0,
2174,2.0,20.0,,1.0,17.0,0.0,H07509-04-04,1.0,12.0,14.0
2176,2.0,63.0,,,17.0,1.0,H07510-04-01,0.0,21.0,
2185,2.0,30.0,,,17.0,1.0,H08101-04-01,0.0,41.0,7.0
2188,2.0,49.0,,,17.0,1.0,H08102-04-01,0.0,17.0,
2190,2.0,24.0,70.0,5.0,17.0,1.0,H08102-04-02,0.0,41.0,5.0
2195,1.0,41.0,,19.0,17.0,1.0,H08102-04-03,0.0,34.0,
2207,2.0,23.0,,1.0,17.0,1.0,H08102-04-04,0.0,51.0,3.0
2210,1.0,23.0,,19.0,17.0,0.0,H08102-04-06,0.0,17.0,6.0
2211,1.0,42.0,16.0,19.0,17.0,1.0,H08103-04-01,0.0,34.0,
2219,1.0,27.0,,,17.0,1.0,H08107-04-01,0.0,16.0,4.0
2225,1.0,51.0,,,17.0,1.0,H08110-04-01,0.0,35.0,
2226,2.0,37.0,,,17.0,1.0,H08114-04-01,0.0,17.0,2.0
2227,1.0,50.0,,,23.0,1.0,H08301-04-01,0.0,15.0,5.0
2234,1.0,35.0,,,17.0,1.0,H08302-04-01,0.0,17.0,
2241,2.0,52.0,,,17.0,1.0,H08302-04-02,1.0,,
2259,2.0,35.0,,,17.0,1.0,H08302-04-03,1.0,,
2266,1.0,47.0,,88.0,17.0,1.0,H08302-04-04,1.0,13.0,
2273,1.0,55.0,51.0,1.0,17.0,1.0,H08303-04-01,0.0,16.0,
2289,1.0,36.0,,,17.0,1.0,H08304-04-01,0.0,13.0,
2296,1.0,79.0,,,96.0,1.0,H08305-04-01,1.0,16.0,30.0
2297,2.0,28.0,,,17.0,1.0,H08306-04-01,0.0,15.0,7.0
2304,1.0,35.0,,,17.0,1.0,H08307-04-02,0.0,13.0,
2308,2.0,52.0,,,17.0,1.0,H08307-04-03,0.0,15.0,
2311,2.0,42.0,,23.0,17.0,1.0,H08308-04-01,0.0,16.0,8.0
2316,1.0,40.0,,,17.0,1.0,H08308-04-03,1.0,,14.0
2320,2.0,62.0,,,17.0,1.0,H08309-04-01,0.0,17.0,5.0
2327,1.0,40.0,,,17.0,1.0,H08310-04-01,0.0,,
2328,2.0,44.0,,,25.0,1.0,H08402-04-01,0.0,31.0,
2330,1.0,37.0,2.0,10.0,28.0,0.0,H08404-04-01,1.0,13.0,
2336,1.0,36.0,,,17.0,1.0,H08405-04-01,0.0,17.0,
2343,2.0,43.0,,,17.0,1.0,H08406-04-01,0.0,16.0,7.0
2347,1.0,32.0,,,17.0,0.0,H08406-04-02,0.0,15.0,8.0
2351,1.0,23.0,,,17.0,1.0,H08406-04-03,0.0,33.0,7.0
2353,1.0,49.0,,,25.0,1.0,H08406-04-04,0.0,17.0,4.0
2361,1.0,38.0,,,28.0,1.0,H08408-04-01,0.0,13.0,
2367,1.0,54.0,,,28.0,1.0,H08409-04-01,1.0,,
2372,1.0,31.0,,,25.0,1.0,H08409-04-02,0.0,32.0,
2380,1.0,43.0,,,25.0,1.0,H08410-04-01,0.0,17.0,
2391,2.0,48.0,,,28.0,0.0,H08411-04-01,1.0,,7.0
2396,1.0,54.0,,,16.0,1.0,H08501-04-01,0.0,,
2400,1.0,60.0,,,17.0,1.0,H08502-04-01,0.0,,7.0
2411,1.0,59.0,,,16.0,0.0,H08503-04-01,0.0,14.0,3.0
2412,1.0,28.0,,5.0,17.0,1.0,H08503-04-02,0.0,36.0,
2417,2.0,45.0,,,30.0,1.0,H08503-04-03,0.0,13.0,14.0
2420,2.0,54.0,,,25.0,1.0,H08504-04-01,0.0,12.0,7.0
2426,1.0,42.0,12.0,19.0,17.0,1.0,H08505-04-01,0.0,12.0,
2433,1.0,75.0,,,25.0,1.0,H08506-04-01,1.0,12.0,7.0
2435,2.0,40.0,17.0,19.0,28.0,0.0,H08507-04-01,1.0,,30.0
2438,2.0,69.0,,,28.0,1.0,H08508-04-01,1.0,,
2444,1.0,67.0,,,31.0,0.0,H08509-04-01,1.0,,
2448,2.0,34.0,,,28.0,1.0,H08510-04-01,0.0,13.0,7.0
2453,1.0,33.0,14.0,19.0,28.0,1.0,H08510-04-02,0.0,33.0,5.0
2458,2.0,55.0,,,17.0,0.0,H08602-04-01,1.0,,5.0
2463,2.0,34.0,,,17.0,1.0,H08602-04-02,1.0,,14.0
2467,1.0,23.0,,,17.0,1.0,H08602-04-03,0.0,13.0,
2470,1.0,52.0,,,17.0,0.0,H08603-04-01,0.0,33.0,
2479,2.0,59.0,,,17.0,1.0,H08605-04-01,0.0,11.0,14.0
2481,2.0,55.0,,,30.0,1.0,H08609-04-01,0.0,31.0,
2486,2.0,65.0,,,17.0,1.0,H08611-04-01,0.0,17.0,
2489,2.0,74.0,,,28.0,1.0,H08701-04-01,1.0,,30.0
2497,2.0,78.0,,,28.0,0.0,H08703-04-01,1.0,,21.0
2509,1.0,56.0,,,28.0,1.0,H08704-04-01,0.0,17.0,7.0
2514,1.0,43.0,,,28.0,0.0,H08706-04-01,0.0,13.0,
2527,1.0,40.0,,,28.0,1.0,H08707-04-01,1.0,,14.0
2535,1.0,52.0,,,28.0,1.0,H08708-04-01,0.0,14.0,7.0
2543,1.0,39.0,,,28.0,0.0,H08708-04-02,1.0,,10.0
2552,1.0,41.0,1.0,10.0,28.0,1.0,H08709-04-01,0.0,32.0,4.0
2561,1.0,52.0,,,28.0,1.0,H08710-04-01,0.0,17.0,7.0
2570,2.0,34.0,,,17.0,1.0,H08801-04-01,0.0,34.0,
2574,2.0,31.0,,,30.0,1.0,H08802-04-01,0.0,17.0,7.0
2577,2.0,79.0,,,17.0,1.0,H08802-04-02,0.0,12.0,14.0
2582,1.0,34.0,,,25.0,1.0,H08803-04-01,1.0,,
2589,2.0,73.0,,,28.0,0.0,H08804-04-01,1.0,,20.0
2590,1.0,88.0,,,28.0,0.0,H08805-04-01,0.0,16.0,20.0
2597,1.0,45.0,,,28.0,1.0,H08806-04-01,1.0,11.0,25.0
2606,1.0,79.0,,,17.0,0.0,H08810-04-01,0.0,21.0,30.0
2608,1.0,61.0,,,17.0,1.0,H08811-04-01,0.0,17.0,
2616,2.0,47.0,,,50.0,1.0,H09001-04-01,1.0,,12.0
2622,1.0,24.0,,19.0,47.0,1.0,H09001-04-02,0.0,17.0,7.0
2625,1.0,35.0,,,21.0,1.0,H09003-04-01,0.0,,5.0
2631,2.0,51.0,,,70.0,0.0,H09004-04-01,1.0,,6.0
2635,1.0,27.0,,19.0,57.0,0.0,H09004-04-02,0.0,17.0,
2637,2.0,74.0,,,17.0,1.0,H09005-04-01,1.0,13.0,14.0
2638,1.0,44.0,,,34.0,1.0,H09007-04-01,0.0,36.0,
2649,1.0,56.0,,,17.0,1.0,H09008-04-01,0.0,15.0,
2660,1.0,25.0,5.0,1.0,17.0,1.0,H09008-04-02,0.0,35.0,
2661,1.0,36.0,,19.0,35.0,0.0,H09009-04-01,0.0,15.0,4.0
2665,2.0,24.0,,19.0,17.0,0.0,H09009-04-02,0.0,32.0,7.0
2667,2.0,82.0,,,17.0,1.0,H09010-04-01,0.0,16.0,20.0
2674,1.0,32.0,,,17.0,1.0,H09011-04-01,0.0,32.0,30.0
2679,2.0,48.0,,,47.0,1.0,H09101-04-01,1.0,13.0,
2684,1.0,37.0,,,32.0,1.0,H09102-04-01,0.0,34.0,
2694,1.0,40.0,,,45.0,1.0,H09103-04-01,0.0,32.0,
2703,1.0,61.0,14.0,10.0,17.0,1.0,H09105-04-01,0.0,17.0,
2713,1.0,22.0,17.0,19.0,17.0,1.0,H09105-04-02,0.0,17.0,
2717,2.0,61.0,,,32.0,1.0,H09106-04-01,1.0,15.0,4.0
2719,1.0,27.0,,5.0,35.0,1.0,H09106-04-02,0.0,34.0,
2722,2.0,51.0,,18.0,31.0,0.0,H09107-04-01,1.0,,8.0
2724,2.0,55.0,70.0,7.0,29.0,1.0,H09108-04-01,0.0,33.0,4.0
2733,1.0,80.0,,,33.0,1.0,H09109-04-01,1.0,,3.0
2739,1.0,77.0,,,17.0,1.0,H09110-04-01,0.0,21.0,12.0
2751,1.0,39.0,,,73.0,1.0,H09111-04-01,1.0,16.0,6.0
2763,1.0,63.0,,,17.0,1.0,H09203-04-01,0.0,51.0,7.0
2767,1.0,29.0,,19.0,35.0,1.0,H09206-04-01,0.0,16.0,4.0
2771,2.0,58.0,,,96.0,1.0,H09208-04-01,1.0,12.0,20.0
2772,2.0,83.0,,,17.0,1.0,H09209-04-01,0.0,12.0,
2774,1.0,68.0,73.0,99.0,35.0,1.0,H09210-04-01,0.0,16.0,
2778,2.0,45.0,61.0,5.0,17.0,1.0,H09403-04-01,0.0,51.0,
2781,2.0,41.0,,,96.0,1.0,H09403-04-02,0.0,34.0,3.0
2784,1.0,50.0,,,17.0,1.0,H09410-04-01,0.0,32.0,
2791,1.0,35.0,,,17.0,0.0,H09501-04-01,0.0,33.0,
2796,1.0,32.0,,88.0,17.0,0.0,H09504-04-01,0.0,61.0,
2798,1.0,52.0,,,35.0,1.0,H09505-04-01,0.0,51.0,
2805,2.0,34.0,,,17.0,1.0,H09509-04-01,0.0,51.0,
2810,1.0,48.0,,,35.0,1.0,H09510-04-01,0.0,33.0,
2816,2.0,31.0,,,17.0,1.0,H09513-04-01,0.0,34.0,
2822,1.0,32.0,,,17.0,,H09514-04-01,0.0,14.0,10.0
2827,1.0,53.0,,,16.0,0.0,H09604-04-01,0.0,51.0,
2831,1.0,58.0,,,17.0,,H09605-04-01,0.0,61.0,
2835,2.0,52.0,,,17.0,1.0,H09608-04-01,0.0,13.0,30.0
2843,1.0,65.0,,,17.0,1.0,H09609-04-01,0.0,51.0,
2852,1.0,51.0,,,25.0,1.0,H09610-04-01,0.0,61.0,
2859,1.0,27.0,,,17.0,1.0,H09613-04-01,0.0,17.0,5.0
2865,1.0,32.0,,,17.0,1.0,H09701-04-01,0.0,33.0,
2870,1.0,40.0,,,17.0,1.0,H09705-04-01,0.0,61.0,2.0
2874,2.0,40.0,,,28.0,1.0,H09706-04-01,0.0,16.0,7.0
2877,2.0,53.0,,,17.0,1.0,H09710-04-01,0.0,17.0,4.0
2884,1.0,22.0,,4.0,12.0,0.0,H09901-04-01,0.0,61.0,3.0
2887,1.0,46.0,,,30.0,0.0,H09902-04-01,0.0,13.0,6.0
2888,2.0,38.0,,,17.0,1.0,H09903-04-01,1.0,,7.0
2894,1.0,28.0,,,28.0,1.0,H09905-04-01,1.0,,20.0
2897,2.0,31.0,,,28.0,0.0,H09906-04-01,0.0,17.0,14.0
2898,1.0,48.0,,,17.0,0.0,H09908-04-01,0.0,36.0,3.0
2903,2.0,35.0,,,17.0,0.0,H09909-04-01,0.0,17.0,
2912,2.0,61.0,,,17.0,0.0,H09910-04-01,0.0,16.0,7.0
2917,1.0,51.0,34.0,19.0,17.0,0.0,H10002-04-01,0.0,61.0,
2924,1.0,42.0,,,17.0,1.0,H10003-04-01,0.0,51.0,
2932,1.0,52.0,,,17.0,1.0,H10004-04-01,0.0,33.0,
2945,1.0,40.0,,,17.0,1.0,H10007-04-01,0.0,51.0,4.0
2952,2.0,34.0,,,17.0,1.0,H10007-04-02,0.0,61.0,
2954,1.0,43.0,,7.0,17.0,1.0,H10009-04-01,0.0,34.0,30.0
2959,2.0,34.0,,,17.0,1.0,H10009-04-02,0.0,32.0,
2960,1.0,69.0,,,17.0,0.0,H10010-04-01,0.0,51.0,6.0
2973,1.0,31.0,,,17.0,1.0,H10011-04-01,0.0,61.0,
2976,1.0,31.0,,1.0,17.0,0.0,H10201-04-01,1.0,,
2979,1.0,33.0,,,17.0,1.0,H10201-04-02,0.0,17.0,
2982,2.0,31.0,,,17.0,1.0,H10205-04-01,0.0,33.0,
2985,2.0,54.0,61.0,5.0,17.0,1.0,H10207-04-01,0.0,36.0,
2990,2.0,59.0,,,17.0,1.0,H10209-04-01,1.0,12.0,14.0
2991,2.0,53.0,,,17.0,0.0,H10210-04-01,0.0,17.0,
2993,1.0,18.0,14.0,1.0,35.0,0.0,H10303-04-01,0.0,17.0,
2994,1.0,33.0,,,17.0,1.0,H10304-04-01,0.0,34.0,
3005,1.0,28.0,,,35.0,1.0,H10306-04-01,0.0,17.0,2.0
3008,1.0,46.0,,,17.0,1.0,H10309-04-01,0.0,34.0,4.0
3013,1.0,40.0,,,62.0,1.0,H10311-04-01,0.0,32.0,7.0
3021,1.0,34.0,,,30.0,0.0,H10312-04-01,1.0,,
3026,1.0,36.0,,,34.0,1.0,H10701-04-01,1.0,11.0,
3035,1.0,25.0,2.0,5.0,45.0,,H10701-04-02,0.0,16.0,
3039,1.0,28.0,,19.0,35.0,1.0,H10701-04-03,0.0,33.0,
3041,2.0,71.0,,,47.0,0.0,H10702-04-01,1.0,,
3045,2.0,67.0,,,47.0,0.0,H10703-04-01,0.0,15.0,7.0
3055,1.0,54.0,,,47.0,1.0,H10704-04-01,0.0,41.0,
3085,2.0,46.0,17.0,19.0,47.0,1.0,H10704-04-02,1.0,12.0,
3090,1.0,69.0,,,35.0,0.0,H10706-04-01,1.0,,
3096,1.0,72.0,,,31.0,0.0,H10706-04-02,0.0,13.0,
3101,1.0,52.0,73.0,19.0,47.0,0.0,H10707-04-01,1.0,,19.0
3110,1.0,62.0,,,21.0,1.0,H10708-04-01,0.0,17.0,
3117,1.0,64.0,,,47.0,1.0,H10709-04-01,0.0,15.0,
3125,1.0,60.0,,,45.0,1.0,H10710-04-01,0.0,12.0,
3135,2.0,24.0,,19.0,17.0,0.0,H10710-04-02,0.0,17.0,7.0
3140,2.0,27.0,,88.0,45.0,,H10710-04-03,0.0,34.0,30.0
3143,1.0,29.0,,,47.0,,H10710-04-04,0.0,34.0,
3145,1.0,30.0,17.0,8.0,47.0,1.0,H10710-04-05,0.0,34.0,
3150,1.0,40.0,,,34.0,1.0,H10801-04-01,0.0,14.0,
3156,1.0,61.0,10.0,9.0,31.0,1.0,H10802-04-01,0.0,34.0,23.0
3167,1.0,51.0,,,34.0,1.0,H10803-04-01,0.0,16.0,
3180,1.0,25.0,1.0,1.0,34.0,1.0,H10803-04-02,0.0,17.0,
3183,1.0,28.0,3.0,19.0,34.0,0.0,H10803-04-03,0.0,34.0,
3184,1.0,46.0,,,34.0,0.0,H10804-04-01,0.0,17.0,21.0
3195,1.0,44.0,22.0,13.0,34.0,1.0,H10805-04-01,0.0,34.0,
3200,1.0,38.0,,,34.0,0.0,H10806-04-01,0.0,16.0,
3208,1.0,51.0,70.0,10.0,34.0,0.0,H10807-04-01,0.0,34.0,
3220,1.0,25.0,,,34.0,1.0,H10807-04-02,0.0,36.0,
3222,2.0,47.0,,,34.0,1.0,H10809-04-01,1.0,,
3224,1.0,42.0,3.0,19.0,34.0,0.0,H10810-04-01,0.0,32.0,
3229,1.0,44.0,,,35.0,1.0,H10902-04-01,1.0,,14.0
3230,1.0,37.0,,,28.0,0.0,H10904-04-01,1.0,,
3236,1.0,46.0,,,45.0,1.0,H10905-04-01,0.0,14.0,
3245,1.0,51.0,,,35.0,0.0,H10906-04-01,1.0,,
3253,2.0,21.0,73.0,19.0,47.0,1.0,H10908-04-01,1.0,,
3259,1.0,49.0,,,21.0,1.0,H10909-04-01,0.0,14.0,
3274,1.0,39.0,14.0,19.0,35.0,1.0,H10909-04-02,0.0,14.0,
3288,1.0,20.0,16.0,19.0,21.0,0.0,H10909-04-03,0.0,17.0,
3290,1.0,40.0,,,31.0,1.0,H10909-04-04,0.0,14.0,4.0
3302,1.0,69.0,,,35.0,1.0,H10910-04-01,0.0,13.0,
3308,1.0,36.0,8.0,19.0,34.0,1.0,H11001-04-01,0.0,16.0,
3316,1.0,45.0,13.0,19.0,34.0,1.0,H11002-04-01,0.0,17.0,
3330,1.0,39.0,17.0,19.0,34.0,1.0,H11003-04-01,0.0,17.0,
3333,1.0,38.0,2.0,10.0,34.0,0.0,H11006-04-01,0.0,16.0,
3338,1.0,42.0,,,34.0,1.0,H11007-04-01,0.0,16.0,14.0
3343,1.0,69.0,,,34.0,1.0,H11009-04-01,0.0,13.0,
3344,1.0,40.0,1.0,99.0,34.0,1.0,H11010-04-01,0.0,16.0,
3346,1.0,46.0,,4.0,34.0,1.0,H11011-04-01,0.0,51.0,
3348,2.0,30.0,,,35.0,1.0,H11403-04-01,0.0,32.0,
3355,1.0,46.0,,,35.0,1.0,H11405-04-01,1.0,,
3363,2.0,76.0,,,35.0,0.0,H11406-04-01,1.0,,7.0
3365,2.0,33.0,,19.0,35.0,1.0,H11409-04-01,1.0,12.0,
3376,1.0,29.0,51.0,4.0,35.0,1.0,H11410-04-01,0.0,51.0,
3377,1.0,43.0,,,35.0,1.0,H11414-04-01,1.0,13.0,
3391,2.0,32.0,,5.0,35.0,1.0,H11501-04-01,0.0,31.0,4.0
3395,1.0,32.0,17.0,5.0,35.0,0.0,H11502-04-01,0.0,34.0,7.0
3399,2.0,64.0,,,35.0,0.0,H11502-04-02,0.0,,30.0
3401,1.0,34.0,17.0,5.0,35.0,1.0,H11504-04-01,0.0,15.0,
3411,1.0,69.0,,,35.0,1.0,H11505-04-01,0.0,33.0,
3416,1.0,82.0,,,35.0,1.0,H11506-04-01,0.0,22.0,
3419,1.0,27.0,,10.0,35.0,1.0,H11506-04-02,0.0,61.0,
3423,1.0,49.0,,,35.0,1.0,H11506-04-03,0.0,51.0,
3430,2.0,49.0,,,35.0,1.0,H11507-04-01,1.0,12.0,30.0
3437,1.0,47.0,,,35.0,1.0,H11509-04-01,0.0,34.0,
3448,2.0,64.0,,,35.0,1.0,H11510-04-01,0.0,61.0,
3457,2.0,59.0,,,35.0,0.0,H11801-04-01,0.0,14.0,7.0
3461,1.0,40.0,,,35.0,0.0,H11804-04-01,1.0,12.0,7.0
3472,1.0,44.0,,,35.0,0.0,H11805-04-01,0.0,17.0,14.0
3477,1.0,53.0,,,35.0,1.0,H11806-04-01,0.0,17.0,3.0
3485,1.0,40.0,2.0,5.0,35.0,1.0,H11807-04-01,0.0,14.0,
3492,1.0,60.0,,,35.0,1.0,H11808-04-01,0.0,32.0,
3499,2.0,38.0,32.0,1.0,35.0,1.0,H11808-04-02,0.0,32.0,
3505,1.0,48.0,,,35.0,1.0,H11809-04-01,0.0,16.0,
3511,1.0,51.0,,,21.0,1.0,H11810-04-01,0.0,17.0,
3515,1.0,39.0,16.0,19.0,35.0,1.0,H11901-04-01,0.0,33.0,
3522,1.0,81.0,,,35.0,1.0,H11902-04-01,1.0,10.0,20.0
3524,2.0,44.0,34.0,10.0,35.0,1.0,H11903-04-01,1.0,,5.0
3533,2.0,28.0,41.0,1.0,35.0,1.0,H11903-04-02,0.0,51.0,21.0
3536,1.0,71.0,,,35.0,1.0,H11905-04-01,0.0,21.0,
3544,1.0,29.0,,4.0,35.0,1.0,H11907-04-01,0.0,31.0,7.0
3550,1.0,49.0,,,31.0,0.0,H11908-04-01,0.0,15.0,
3557,1.0,67.0,,,35.0,1.0,H11910-04-01,0.0,51.0,
3566,1.0,32.0,11.0,19.0,35.0,1.0,H12001-04-01,0.0,15.0,30.0
3570,1.0,48.0,,,35.0,,H12003-04-01,0.0,13.0,
3581,1.0,25.0,13.0,5.0,35.0,1.0,H12003-04-02,0.0,34.0,
3589,1.0,42.0,73.0,19.0,35.0,0.0,H12005-04-01,1.0,12.0,
3597,2.0,58.0,,,35.0,1.0,H12006-04-01,1.0,13.0,14.0
3598,1.0,33.0,,,35.0,1.0,H12007-04-01,0.0,17.0,
3606,2.0,55.0,,,35.0,1.0,H12008-04-01,1.0,14.0,
3616,1.0,25.0,,19.0,35.0,1.0,H12008-04-02,0.0,17.0,
3619,2.0,74.0,,,35.0,1.0,H12009-04-01,1.0,,14.0
3622,1.0,19.0,2.0,88.0,35.0,1.0,H12010-04-01,0.0,16.0,7.0
3625,1.0,32.0,,9.0,35.0,1.0,H12011-04-01,0.0,17.0,
3633,2.0,48.0,,,17.0,1.0,H12303-04-01,0.0,16.0,
3639,1.0,48.0,,,17.0,1.0,H12306-04-01,0.0,34.0,
3649,2.0,55.0,34.0,10.0,11.0,1.0,H12310-04-01,0.0,32.0,3.0
3665,1.0,42.0,,,35.0,1.0,H12311-04-01,1.0,,
3671,1.0,49.0,70.0,9.0,35.0,1.0,H12401-04-01,0.0,34.0,
3676,2.0,41.0,,,96.0,0.0,H12402-04-01,0.0,15.0,
3691,1.0,54.0,,10.0,35.0,1.0,H12404-04-01,0.0,34.0,
3696,1.0,34.0,8.0,1.0,35.0,1.0,H12407-04-01,0.0,17.0,14.0
3697,2.0,33.0,,,35.0,0.0,H12407-04-02,0.0,17.0,
3704,2.0,41.0,3.0,19.0,35.0,0.0,H12408-04-01,0.0,17.0,
3711,1.0,53.0,,,35.0,0.0,H12409-04-01,0.0,34.0,
3720,1.0,87.0,,,35.0,1.0,H12411-04-01,0.0,61.0,
3733,1.0,38.0,,,31.0,1.0,H12501-04-01,1.0,12.0,
3743,1.0,40.0,,,35.0,1.0,H12502-04-01,0.0,16.0,
3755,1.0,65.0,,,35.0,1.0,H12504-04-01,0.0,15.0,14.0
3757,1.0,31.0,17.0,19.0,35.0,1.0,H12505-04-01,1.0,,
3762,1.0,46.0,,,35.0,,H12506-04-01,0.0,17.0,
3773,1.0,32.0,73.0,19.0,30.0,1.0,H12507-04-01,1.0,,3.0
3781,1.0,38.0,,,35.0,1.0,H12509-04-01,0.0,16.0,
3792,2.0,43.0,,,35.0,1.0,H12510-04-01,0.0,17.0,
3804,2.0,47.0,,,35.0,1.0,H12512-04-01,1.0,13.0,
3809,2.0,79.0,,,31.0,1.0,H12601-04-01,1.0,,14.0
3813,2.0,36.0,,,34.0,1.0,H12603-04-01,0.0,15.0,3.0
3817,1.0,48.0,,,45.0,0.0,H12604-04-01,0.0,17.0,30.0
3823,1.0,39.0,,,35.0,0.0,H12605-04-01,0.0,16.0,7.0
3833,2.0,60.0,,,35.0,0.0,H12606-04-01,1.0,10.0,25.0
3839,1.0,21.0,,,35.0,0.0,H12606-04-02,0.0,14.0,
3844,1.0,85.0,,,31.0,1.0,H12607-04-01,1.0,12.0,23.0
3846,1.0,39.0,,,45.0,1.0,H12609-04-01,0.0,16.0,7.0
3847,2.0,49.0,,,35.0,0.0,H12610-04-01,1.0,,
3851,1.0,30.0,8.0,5.0,35.0,0.0,H12610-04-02,0.0,33.0,
3854,1.0,46.0,8.0,19.0,35.0,0.0,H12611-04-01,0.0,16.0,
3860,2.0,38.0,,88.0,35.0,0.0,H12701-04-01,0.0,16.0,
3867,2.0,31.0,,,35.0,1.0,H12701-04-02,0.0,16.0,
3869,2.0,53.0,17.0,10.0,35.0,1.0,H12703-04-01,0.0,17.0,
3874,1.0,64.0,,,35.0,1.0,H12704-04-01,0.0,34.0,
3885,2.0,36.0,,,35.0,1.0,H12705-04-01,0.0,13.0,3.0
3894,1.0,55.0,21.0,19.0,35.0,1.0,H12706-04-01,0.0,51.0,7.0
3900,2.0,63.0,,10.0,35.0,1.0,H12707-04-01,1.0,,
3904,2.0,50.0,,,31.0,1.0,H12708-04-01,1.0,12.0,28.0
3911,1.0,44.0,,,31.0,1.0,H12709-04-01,0.0,13.0,
3919,2.0,52.0,,,35.0,1.0,H12710-04-01,0.0,51.0,
3924,2.0,48.0,,,35.0,1.0,H12805-04-01,0.0,41.0,
