,sex,age,father_educ,father_ocup,ethnic,bednet,hh,writeread,classeduc,illdays
418,1.0,30.0,17.0,19.0,17.0,1.0,H03003-04-01,0.0,17.0,
423,2.0,73.0,,,30.0,0.0,H03005-04-01,0.0,41.0,
428,2.0,68.0,,,17.0,1.0,H03006-04-01,1.0,22.0,
437,1.0,37.0,,,21.0,1.0,H03010-04-01,0.0,36.0,
445,2.0,41.0,,,17.0,,H03401-04-01,0.0,34.0,
449,2.0,29.0,,,17.0,1.0,H03408-04-01,1.0,,
456,2.0,64.0,,,17.0,1.0,H03409-04-01,0.0,15.0,
472,1.0,24.0,,,17.0,1.0,H03409-04-02,0.0,36.0,
474,1.0,42.0,,,17.0,1.0,H03410-04-01,0.0,33.0,
486,1.0,25.0,,,17.0,1.0,H03410-04-02,1.0,10.0,
489,1.0,52.0,,,17.0,1.0,H03503-04-01,0.0,17.0,
495,1.0,46.0,,,17.0,,H03511-04-01,0.0,11.0,
498,1.0,44.0,2.0,99.0,17.0,1.0,H03512-04-01,1.0,,
500,1.0,69.0,,,17.0,0.0,H03515-04-01,0.0,16.0,
503,1.0,33.0,1.0,19.0,17.0,1.0,H03601-04-01,1.0,,
507,2.0,62.0,,,25.0,0.0,H03602-04-04,1.0,,30.0
517,2.0,54.0,,,28.0,1.0,H03603-04-05,0.0,16.0,10.0
523,2.0,67.0,,,17.0,1.0,H03604-04-04,0.0,,
532,1.0,36.0,,,17.0,1.0,H03604-04-08,0.0,34.0,
539,1.0,58.0,,,17.0,1.0,H03604-04-09,0.0,34.0,
553,1.0,77.0,,,96.0,1.0,H03605-04-02,0.0,13.0,
556,1.0,42.0,,,17.0,1.0,H03607-04-01,0.0,13.0,6.0
562,2.0,47.0,,,30.0,1.0,H03608-04-01,0.0,12.0,
564,1.0,55.0,,,17.0,1.0,H03704-04-01,0.0,15.0,7.0
568,2.0,54.0,,,28.0,1.0,H03705-04-01,0.0,34.0,12.0
572,1.0,79.0,,,17.0,1.0,H03706-04-01,1.0,13.0,5.0
581,2.0,53.0,,,17.0,0.0,H03707-04-01,0.0,15.0,14.0
588,2.0,23.0,,,30.0,0.0,H03707-04-02,0.0,17.0,6.0
590,1.0,53.0,,,17.0,1.0,H03709-04-01,0.0,13.0,
594,1.0,31.0,17.0,19.0,32.0,0.0,H03711-04-02,1.0,32.0,
599,2.0,30.0,,19.0,30.0,0.0,H03711-04-03,1.0,12.0,
606,1.0,31.0,17.0,21.0,32.0,0.0,H03711-04-04,0.0,13.0,
611,1.0,49.0,,,17.0,0.0,H03804-04-01,0.0,32.0,
612,2.0,101.0,,,17.0,0.0,H03807-04-01,1.0,12.0,14.0
617,2.0,54.0,22.0,10.0,17.0,0.0,H03809-04-01,0.0,17.0,4.0
625,1.0,54.0,8.0,19.0,17.0,1.0,H03810-04-01,0.0,51.0,
630,2.0,35.0,,,17.0,1.0,H03811-04-01,0.0,51.0,5.0
637,2.0,33.0,,,17.0,0.0,H03813-04-01,0.0,41.0,
640,1.0,28.0,,,17.0,0.0,H03901-04-01,0.0,17.0,
642,2.0,39.0,,,17.0,0.0,H03902-04-01,0.0,15.0,7.0
647,2.0,31.0,,14.0,17.0,1.0,H03903-04-01,0.0,31.0,
653,2.0,93.0,,,34.0,0.0,H03906-04-01,1.0,,
656,1.0,36.0,6.0,88.0,17.0,1.0,H03907-04-01,0.0,32.0,6.0
661,1.0,35.0,,,17.0,0.0,H03908-04-01,0.0,17.0,3.0
666,1.0,44.0,,19.0,34.0,0.0,H03909-04-01,0.0,15.0,
675,1.0,74.0,,,34.0,1.0,H03909-04-02,0.0,15.0,
684,2.0,47.0,,,50.0,1.0,H03910-04-01,0.0,34.0,14.0
698,1.0,56.0,,9.0,17.0,,H04001-04-01,0.0,21.0,
706,1.0,42.0,,20.0,17.0,1.0,H04002-04-01,0.0,,
716,1.0,52.0,17.0,19.0,17.0,1.0,H04003-04-01,0.0,41.0,
725,1.0,31.0,4.0,1.0,17.0,1.0,H04003-04-03,0.0,36.0,4.0
727,2.0,45.0,,,17.0,1.0,H04004-04-01,0.0,51.0,
730,1.0,33.0,,,45.0,1.0,H04005-04-01,0.0,15.0,
738,1.0,81.0,,,96.0,0.0,H04006-04-01,1.0,,10.0
739,2.0,59.0,,,17.0,1.0,H04007-04-01,0.0,,4.0
741,1.0,58.0,,,45.0,0.0,H04009-04-01,0.0,13.0,7.0
742,1.0,50.0,,,45.0,0.0,H04010-04-01,0.0,34.0,5.0
750,1.0,25.0,34.0,19.0,45.0,1.0,H04010-04-02,0.0,51.0,7.0
751,1.0,68.0,,,17.0,1.0,H04011-04-01,0.0,21.0,10.0
759,2.0,30.0,,19.0,17.0,1.0,H04011-04-02,0.0,31.0,
761,2.0,54.0,,,18.0,1.0,H04201-04-01,0.0,31.0,6.0
773,1.0,37.0,17.0,10.0,17.0,1.0,H04202-04-01,0.0,17.0,
777,1.0,43.0,,,17.0,1.0,H04203-04-01,0.0,17.0,
783,1.0,41.0,8.0,5.0,17.0,0.0,H04204-04-01,0.0,16.0,
791,1.0,39.0,,,25.0,1.0,H04205-04-01,1.0,12.0,7.0
796,1.0,64.0,,,96.0,0.0,H04206-04-01,0.0,16.0,
797,1.0,30.0,,,73.0,1.0,H04207-04-01,0.0,16.0,
804,1.0,20.0,,,17.0,0.0,H04208-04-01,0.0,17.0,7.0
805,1.0,43.0,,,17.0,1.0,H04208-04-02,0.0,16.0,
813,2.0,45.0,2.0,19.0,17.0,1.0,H04209-04-01,0.0,17.0,7.0
826,1.0,31.0,,,17.0,0.0,H04210-04-01,0.0,31.0,
830,2.0,53.0,,,17.0,1.0,H04501-04-01,0.0,15.0,0.0
836,2.0,58.0,,,32.0,1.0,H04505-04-01,0.0,51.0,
841,2.0,24.0,,19.0,17.0,1.0,H04508-04-02,0.0,32.0,
846,2.0,52.0,,,17.0,1.0,H04508-04-03,0.0,15.0,4.0
853,1.0,25.0,,,17.0,0.0,H04508-04-04,0.0,32.0,
856,1.0,45.0,,,17.0,1.0,H04509-04-01,0.0,16.0,
865,2.0,55.0,,,17.0,1.0,H04602-04-01,1.0,,10.0
870,1.0,85.0,,,30.0,1.0,H04603-04-01,1.0,13.0,15.0
874,2.0,79.0,,,17.0,1.0,H04604-04-01,1.0,,30.0
