region,urban,year,month,sregion,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_net,profit_agrb,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation,familysize,shock,climate,prices,job,health,aggregate,idiosyn,pests,d_shock,d_climate,d_prices,d_job,d_health,d_aggregate,d_idiosyn,d_pests,sex,age,father_educ,father_ocup,ethnic,bednet,writeread,classeduc,illdays,hh,wave,age_sq,region2,region3,region4,female,lnc,lnctotal_dur,lnctotal_gift,lncfood,lncnodur,lnwage_total,lnbs_profit,lnother_net,lnprofit_agrb,lnprofit_ls,lnprofit_agr,lntotal_agrls,lny,lninctotal_trans,u_c,u_y
1,0,2013,12,2,1.0700411330335953,2404.1946437622278,2490.897380727357,340.30824258813203,1492.5153645738944,911.6792791883333,,1490.2032915881578,-614.1443868363317,,169.07033708200188,,169.07033708200188,1659.2736286701597,1045.129241833828,,0,0.10189418680600915,0,0.8981058131939909,1,businessman,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,12.0,19.0,30.0,0.0,1.0,13.0,14.0,1013000201.0,2013-2014,2304.0,0,0,0,1,7.82813508058743,7.86278344587223,5.829851802747852,7.340869801806788,6.820947903223065,,7.957062465818532,7.340743989583377,,5.406339818518068,,5.354659715380951,8.01458118419118,8.108791021671472,0.2960011413905823,
1,0,2014,10,2,1.0948123174730158,968.3072049244113,1105.305161280403,144.6246467098304,508.5872585958,459.7199463286113,,,-12.004975556968342,325096.15384615393,,252.3738293597225,252.3738293597225,252.3738293597225,240.36885380275413,,0,1.0,1,,0,farmer,4,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,46.0,,,28.0,1.0,1.0,,5.0,1013000202.0,2013-2014,2116.0,0,0,0,1,6.979476844508187,7.100976848354076,4.974141742709339,6.324582422813964,6.141810184098127,,,7.670427694402457,12.700188277944685,,5.843800320610581,5.686620903319733,7.3888487648143135,7.831536726463096,,
1,1,2014,6,2,1.0753197970037849,1454.0930070436032,1645.700110495911,41.413017481624536,1266.008885981225,188.0841210623781,,73.33555179037678,-3.5948799897243524,,299.0940151450661,,299.0940151450661,372.4295669354429,368.83468694571854,,0,0.803088803088803,1,0.1969111969111969,0,farmer,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,,19.0,17.0,1.0,0.0,16.0,,1013000204.0,2013-2014,1521.0,0,0,0,0,7.352532100423756,7.46939559343015,3.7235952633312093,7.1820073201107,5.264028819711021,,7.271567662621631,7.674342643427344,,5.866009679117564,,5.833686247381695,7.46043176600064,7.881281530933077,-0.383484798837908,
1,0,2013,12,2,1.0700411330335953,2483.7444049277337,2530.708387450512,0.0,1314.9915106377925,1168.7528942899412,,7.225228080427431,,22040.0,,7.96220134463103,7.96220134463103,15.187429425058461,15.187429425058461,,0,0.5242626070409134,1,0.47573739295908657,1,businessman,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,,,17.0,0.0,0.0,17.0,,1013000210.0,2013-2014,1681.0,0,0,0,0,7.8593333695126075,7.877986617133551,-inf,7.218564561540069,7.06811007510769,,7.224530454410401,,10.11672061835718,,4.61191409480107,3.921653025051363,7.230314116791979,7.737884750359536,0.23197495651265232,
1,1,2014,3,1,1.085526134477244,4263.610098253666,5674.153964281895,55.55285107306327,1351.786042777873,2911.8240554757936,149.56536827363192,493.5657153029853,427.32962363894825,,,,,643.1310835766171,1070.4607072155654,0.23255813953488372,0,,0,0.7674418604651163,1,businessman,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,,,17.0,0.0,0.0,22.0,,1021000108.0,2013-2014,5625.0,0,0,0,0,8.382440266270391,8.662504985525723,4.0173348392161685,7.24517241835373,7.978310443010423,5.050342575292495,7.527812497033818,7.8568356366800405,,,,,7.605193130137653,8.116383915007376,0.3679128253741357,
1,1,2014,3,1,1.085526134477244,2423.1014092407163,4896.627714070829,296.2818723896708,1607.3291577139642,815.7722515267523,1281.988870916845,,-7.834376433380719,,,,,1281.988870916845,1274.154494483464,1.0,1,,0,,0,worker,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,,,38.0,1.0,0.0,17.0,,1021000109.0,2013-2014,1849.0,0,0,0,1,7.83563870276623,8.51808761405354,5.69131127278784,7.412683509642969,6.710458136828505,7.161233584401431,,7.672371048604653,,,,,7.8813550489218,8.175430151376519,0.11966138762193257,
1,1,2014,3,1,1.085526134477244,2930.7690021237872,6731.509896372532,6.409944354584224,1640.660868357802,1290.108133765985,2243.4805241044783,836.8538462929404,607.1641735870056,,,,,3080.3343703974188,3687.498543984425,0.7283236994219653,1,,0,0.27167630057803466,0,worker,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,,,17.0,0.0,0.0,,,1021000111.0,2013-2014,2500.0,0,0,0,0,8.018565523117774,8.830448897425555,1.857850589862796,7.432601146959372,7.166484129060335,7.718681530263905,7.697267782541579,7.924132900130588,,,,,8.399715798496883,8.693819694329237,,
1,1,2014,3,1,1.085526134477244,10280.767307109758,13932.65504912427,2796.160170677518,5783.977677557105,4496.7896295526525,,,,,,,,0.0,0.0,,0,,0,,0,nothing,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,,,17.0,1.0,0.0,51.0,15.0,1021000113.0,2013-2014,2601.0,0,0,0,0,9.2482926143072,9.549701392669647,7.936002387362983,8.671375034840564,8.412269033259411,,,,,,,,7.2192530141237805,7.731241119840466,0.9604239589347596,
1,1,2014,3,1,1.085526134477244,2164.780651750972,3365.2207861567176,0.0,1210.1262725415618,954.6543792094105,1538.3866451002139,,,,,,,1538.3866451002139,1538.3866451002139,1.0,1,,0,,0,worker,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,,,35.0,0.0,0.0,17.0,,1021000201.0,2013-2014,2025.0,0,0,0,0,7.727900511306601,8.152793397747988,-inf,7.138600074482793,6.866754921567918,7.342712649843489,,,,,,,7.973794560284959,8.247171556493997,-0.036458571953984276,
1,1,2014,4,1,1.0965546293128212,1959.9063119077264,1975.0649512724344,0.0,1000.8932298669719,959.0130820407545,,179.78851339537744,,,,,,179.78851339537744,179.78851339537744,,0,,0,1.0,1,businessman,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,,,17.0,0.0,0.0,14.0,14.0,1021000202.0,2013-2014,2116.0,0,0,0,0,7.6333479996894615,7.641521882008804,-inf,6.956955526794228,6.871285767113055,,7.342945652642751,,,,,,7.342945652642751,7.807191472809259,-0.2681833310240469,
