code,m_p,gate_p
101,8000.0,5000.0
102,2000.0,1000.0
103,2000.0,1750.0
104,92500.0,2000.0
105,1000.0,1500.0
106,1000.0,1000.0
107,1000.0,1000.0
109,1500.0,2000.0
110,3000.0,2000.0
111,725.0,500.0
112,300.0,200.0
113,1700.0,1300.0
115,1600.0,1000.0
116,1000.0,500.0
117,7000.0,7000.0
118,6000.0,5000.0
119,8000.0,8000.0
120,5000.0,5750.0
121,13000.0,10000.0
122,2500.0,2000.0
123,2000.0,3500.0
124,300.0,300.0
125,600.0,600.0
126,17000.0,
127,300.0,
128,850.0,750.0
129,3500.0,550.0
130,1000.0,500.0
131,1000.0,2000.0
132,500.0,300.0
133,1000.0,450.0
134,1000.0,1000.0
135,500.0,500.0
136,500.0,500.0
137,700.0,500.0
138,300.0,300.0
139,300.0,300.0
140,1000.0,800.0
141,1500.0,1000.0
142,500.0,500.0
143,1200.0,1500.0
144,3600.0,1800.0
145,2000.0,1000.0
146,1400.0,1300.0
147,2600.0,
148,200.0,100.0
149,100.0,200.0
150,500.0,
151,1000.0,
152,2000.0,
153,800.0,1000.0
154,700.0,1000.0
155,100.0,
156,200.0,100.0
157,,
158,1000.0,1000.0
159,2000.0,1000.0
160,,
161,,
162,1000.0,700.0
163,2000.0,2200.0
164,200.0,300.0
165,1500.0,1000.0
166,300.0,200.0
167,500.0,400.0
168,200.0,300.0
169,2000.0,1000.0
170,1000.0,1000.0
171,700.0,500.0
172,2500.0,1500.0
173,500.0,
174,1000.0,
175,1500.0,
180,1000.0,500.0
181,2000.0,5000.0
182,800.0,800.0
190,3000.0,
191,200.0,
