age,aggregate,climate,cons_nd,d_aggregate,d_climate,d_health,d_idiosyn,d_job,d_pests,d_prices,d_shock,health,hh,hhsize,hhsize1,idiosyn,income_dis2,job,lnc,lny,pests,prices,region,reside,sex,shock,sregion,wave
30.0,0.0,0.0,6393397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000312,,3.0,0.0,6306605.0,0.0,7.812564849853516,7.798896312713623,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
36.0,0.0,0.0,9026477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000313,,2.0,0.0,264659.0625,0.0,8.157461166381836,4.627985954284668,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000401,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000402,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
29.0,0.0,0.0,4986271.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000405,,3.0,0.0,893436.625,0.0,7.5639872550964355,5.844618797302246,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
28.0,0.0,0.0,5367203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100040502,,5.0,0.0,2599537.75,0.0,7.637605667114258,6.912632465362549,0.0,0.0,1.0,0.0,2.0,0.0,,2009-2010
33.0,0.0,0.0,7433726.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100040504,,3.0,0.0,1810789.0,0.0,7.9633259773254395,6.551061630249023,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
34.0,0.0,0.0,9581514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000406,,5.0,0.0,8735333.0,0.0,8.217134475708008,8.124674797058105,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
53.0,0.0,0.0,1005624.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100040606,,2.0,0.0,1975946.875,0.0,5.962907791137695,6.6383466720581055,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
60.0,0.0,0.0,9254151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000408,,8.0,0.0,1114331.125,0.0,8.182371139526367,6.065553188323975,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
59.0,1.0,1.0,3833643.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1021000409,,11.0,0.0,2666192.5,0.0,7.301114559173584,6.937950611114502,0.0,0.0,0.0,0.0,1.0,1.0,,2009-2010
38.0,0.0,0.0,4010275.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000501,,1.0,0.0,2170022.25,0.0,7.346158981323242,6.732036590576172,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000503,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000504,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
45.0,0.0,0.0,16500188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000506,,5.0,0.0,1669247.875,0.0,8.76067066192627,6.469672203063965,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
43.0,0.0,0.0,9281425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000604,,8.0,0.0,2240994.5,0.0,8.185314178466797,6.764218807220459,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
48.0,0.0,0.0,37654472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000607,,10.0,0.0,15729204.0,0.0,9.585750579833984,8.712818145751953,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2009-2010
25.0,0.0,0.0,6555764.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000608,,4.0,0.0,5588536.5,0.0,7.837643623352051,7.678016185760498,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000610,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
58.0,0.0,0.0,24086980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000612,,6.0,0.0,14895499.0,0.0,9.138970375061035,8.658357620239258,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000701,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
52.0,0.0,0.0,4453237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000702,,3.0,0.0,1842971.125,0.0,7.450930118560791,6.56867790222168,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000703,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100070302,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
26.0,0.0,0.0,3887172.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000705,,2.0,0.0,22232.08984375,0.0,7.314980983734131,2.151080369949341,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
41.0,0.0,0.0,11933770.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1021000709,,9.0,1.0,6676091.5,1.0,8.436671257019043,7.855831623077393,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009-2010
,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1021000710,,,0.0,,0.0,,,0.0,0.0,,,,1.0,,2009-2010
36.0,0.0,0.0,7831753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000711,,6.0,0.0,8270337.0,0.0,8.015485763549805,8.069973945617676,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
24.0,0.0,0.0,5811382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000802,,1.0,0.0,9075601.0,0.0,7.7171173095703125,8.162888526916504,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000803,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
22.0,0.0,0.0,2626714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000805,,3.0,0.0,1667481.5,0.0,6.923032760620117,6.468613147735596,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100080503,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
37.0,0.0,0.0,9815044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000807,,2.0,0.0,11499224.0,0.0,8.241215705871582,8.399578094482422,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000808,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
57.0,1.0,1.0,4058854.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,102100080803,,5.0,0.0,1397059.625,0.0,7.358199596405029,6.291668891906738,0.0,0.0,2.0,1.0,2.0,1.0,,2009-2010
29.0,0.0,0.0,4637769.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000809,,3.0,0.0,2437838.5,0.0,7.491532325744629,6.848410606384277,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
52.0,0.0,0.0,2028171.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000810,,2.0,0.0,1875028.75,0.0,6.664433479309082,6.585922718048096,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
