hh,own_quant,own_value
H05407-04-02,208.0,416000.0
H05409-04-01,858.0,2423200.0
H05410-04-01,1976.0,1877200.0
H05412-04-01,832.0,1508000.0
H05412-04-02,1040.0,2012400.0
H05412-04-03,,
H05701-04-01,676.0,161200.0
H05702-04-01,2236.0,1924000.0
H05703-04-01,832.0,1076400.0
H05704-04-01,1508.0,1159600.0
H05705-04-01,1872.0,988000.0
H05706-04-01,728.0,837200.0
H05707-04-01,1092.0,1404000.0
H05709-04-01,1092.0,748800.0
H05710-04-01,4186.0,4310800.0
H05711-04-01,676.0,852800.0
H05711-04-02,,
H05901-04-01,,
H05904-04-01,,
H05906-04-01,,
H05906-04-02,468.0,780000.0
H05910-04-01,468.0,1144000.0
H06001-04-01,728.0,582400.0
H06005-04-01,208.0,1248000.0
H06006-04-01,104.0,364000.0
H06007-04-01,,
H06008-04-01,780.0,644800.0
H06009-04-01,780.0,2652000.0
H06010-04-01,468.0,520000.0
H06101-04-01,234.0,299000.0
H06102-04-01,1300.0,2095600.0
H06103-04-01,546.0,811200.0
H06104-04-01,936.0,795600.0
H06104-04-02,,
H06104-04-03,,
H06105-04-01,2288.0,4716400.0
H06105-04-02,1612.0,5220800.0
H06107-04-01,1300.0,1326000.0
H06108-04-01,1248.0,1040000.0
H06109-04-01,1612.0,3109600.0
H06110-04-01,520.0,1209000.0
H06201-04-01,780.0,520000.0
H06203-04-01,,
H06207-04-01,1040.0,1570400.0
H06208-04-01,2548.0,1476800.0
H06209-04-01,260.0,67600.0
H06301-04-01,3536.0,2048800.0
H06303-04-01,1404.0,1846000.0
H06303-04-02,,
H06303-04-03,104.0,104000.0
H06305-04-01,572.0,572000.0
H06306-04-01,728.0,728000.0
H06307-04-01,1196.0,2184000.0
H06309-04-01,,
H06310-04-01,2340.0,4903600.0
H06310-04-02,1040.0,733200.0
H06310-04-03,,
H06401-04-01,182.0,182000.0
H06402-04-01,910.0,728000.0
H06403-04-01,520.0,629200.0
H06404-04-01,1313.0,670800.0
H06405-04-01,1820.0,1721200.0
H06406-04-01,1638.0,1201200.0
H06408-04-01,806.0,1456000.0
H06409-04-01,2860.0,2828800.0
H06410-04-01,2392.0,1638000.0
H06411-04-01,1664.0,4004000.0
H06601-04-01,,
H06602-04-01,546.0,845000.0
H06603-04-01,4472.0,2678000.0
H06604-04-01,1326.0,1071200.0
H06605-04-01,507.0,520000.0
H06606-04-01,1066.0,2410200.0
H06607-04-01,455.0,845000.0
H06608-04-01,1196.0,2657200.0
H06609-04-01,1872.0,2553200.0
H06701-04-01,780.0,1040000.0
H06702-04-01,,
H06703-04-01,1482.0,1892800.0
H06704-04-01,416.0,910000.0
H06706-04-01,520.0,1248000.0
H06707-04-01,364.0,1456000.0
H06707-04-02,,
H06708-04-01,572.0,546000.0
H06709-04-01,416.0,364000.0
H06710-04-01,,
