hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
H01813-04-01,15531300.0,19585300.0,336000.0,941000.0,15195300.0,15195300.0,3600000.0,3600000.0,7956000.0,7575300.0,4054000.0
H02108-04-01,5464200.0,6530700.0,0.0,0.0,5464200.0,5464200.0,0.0,0.0,3954600.0,1509600.0,1066500.0
H02110-04-01,10427800.0,14077800.0,0.0,0.0,10427800.0,10427800.0,3600000.0,3600000.0,4802200.0,5625600.0,3650000.0
H02111-04-01,11918600.0,16869600.0,0.0,0.0,11918600.0,11918600.0,0.0,0.0,5993000.0,5925600.0,4951000.0
H02113-04-01,5963400.0,7378400.0,1271500.0,1301500.0,4301900.0,4301900.0,2190000.0,2190000.0,1848600.0,4114800.0,1415000.0
H02203-04-01,7371000.0,11971500.0,0.0,0.0,7371000.0,7371000.0,0.0,0.0,3923400.0,3447600.0,4600500.0
H02205-04-01,49291400.0,58395406.0,480000.0,480000.0,48811400.0,48811400.0,12000000.0,12000000.0,11437400.0,37854000.0,9104006.0
H02206-04-01,10173400.0,12863400.0,0.0,0.0,10173400.0,10173400.0,2400000.0,2400000.0,5067400.0,5106000.0,2690000.0
H02207-04-01,12079500.0,18511500.0,1105000.0,2035000.0,9508100.0,9508100.0,2006400.0,2006400.0,8334300.0,3745200.0,6432000.0
H02304-04-01,7034800.0,7282800.0,358800.0,358800.0,6676000.0,6676000.0,0.0,0.0,4045600.0,2989200.0,248000.0
H02305-04-01,10319800.0,10680600.0,182000.0,182000.0,9695800.0,9695800.0,442000.0,442000.0,3959800.0,6360000.0,360800.0
H02310-04-01,8527500.0,9539500.0,24000.0,24000.0,8503500.0,8503500.0,4296000.0,4296000.0,2999100.0,5528400.0,1012000.0
H02401-04-01,5278920.0,5407920.0,0.0,0.0,5278920.0,5278920.0,0.0,0.0,2987400.0,2291520.0,129000.0
H02407-04-01,4049900.0,4084900.0,442000.0,442000.0,3607900.0,3607900.0,0.0,0.0,2837900.0,1212000.0,35000.0
H02409-04-01,2611800.0,2655800.0,0.0,0.0,2611800.0,2611800.0,0.0,0.0,1193400.0,1418400.0,44000.0
