,cropID,med_prices,m_p,gate_p
0,WHEAT,,0.0,0.0
1,RICE,750.0,0.0,0.0
2,MAIZE,250.0,0.0,0.0
3,FINGER MILLET,600.0,0.0,0.0
4,SORGHUM,400.0,0.0,0.0
5,BEANS,1000.0,0.0,0.0
6,FIELD PEAS,853.5714285714286,0.0,0.0
7,COW PEAS,1000.0,0.0,0.0
8,PIGEON PEAS,1000.0,0.0,0.0
9,GROUNDNUTS,520.0,0.0,0.0
10,SOYA BEANS,700.0,0.0,0.0
11,SUNFLOWER,509.13978494623655,0.0,0.0
12,SIMSIM,1937.5,0.0,0.0
13,CABBAGE,300.5952380952381,0.0,0.0
14,TOMATOES,533.3333333333334,0.0,0.0
15,CARROTS,2277.777777777778,0.0,0.0
16,ONIONS,683.3333333333333,0.0,0.0
17,PUMPKINS,400.0,0.0,0.0
18,DODO,171.42857142857144,0.0,0.0
19,EGGPLANTS,192.64705882352942,0.0,0.0
20,SUGARCANE,166.66666666666666,0.0,0.0
21,COTTON,1300.0,0.0,0.0
22,TOBACCO,2173.3333333333335,0.0,0.0
23,IRISH POTATOES,400.0,0.0,0.0
24,SWEET POTATOES,166.66666666666666,0.0,0.0
25,CASSAVA,223.61111111111111,0.0,0.0
26,YAM,465.0,0.0,0.0
27,ORANGES,133.33333333333334,0.0,0.0
28,PAW PAW,200.0,0.0,0.0
29,PINEAPPLES,166.66666666666666,0.0,0.0
30,BANANA FOOD,200.0,0.0,0.0
31,BANANA BEER,70.0,0.0,0.0
32,BANANA SWEET,130.0,0.0,0.0
33,MANGO,161.1111111111111,0.0,0.0
34,JACK FRUIT,183.33333333333331,0.0,0.0
35,AVOCADO,150.0,0.0,0.0
36,PASSION FRUIT,1000.0,0.0,0.0
37,COFFEE ALL,500.0,0.0,0.0
38,COCOA,2000.0,0.0,0.0
39,TEA,250.0,0.0,0.0
40,VANILLA,1000.0,0.0,0.0
41,OTHER,400.0,0.0,0.0
42,891,,0.0,0.0
43,NATURAL PASTURES,,0.0,0.0
44,IMPROVED PASTURES,,0.0,0.0
45,FALLOW,,0.0,0.0
46,BUSH,,0.0,0.0
47,NATURAL FOREST,1666.6666666666667,0.0,0.0
48,PLANTATION TREES,83.33333333333333,0.0,0.0
49,OTHER FOREST TREES,,0.0,0.0
50,GREEN GRAM,1500.0,0.0,0.0
