,hh,profit_ls,profit_agr,total_agrls
0,1021000108.0,0.0,205125.0,205125.0
1,1021000807.0,2389600.0,159000.0,2548600.0
2,102100080803.0,714000.0,793628.111111111,1507628.111111111
3,1021001107.0,0.0,120175.66666666666,120175.66666666666
4,1021001109.0,1465000.0,615861.1111111111,2080861.111111111
5,1021002610.0,585000.0,261541.66666666666,846541.6666666666
6,1021002611.0,0.0,224833.33333333334,224833.33333333334
7,1021002810.0,0.0,181700.0,181700.0
8,1033000301.0,8000.0,567450.0,575450.0
9,1033000302.0,0.0,666066.6666666666,666066.6666666666
10,1033000303.0,0.0,290950.0,290950.0
11,1033000304.0,-3500.0,300306.0,296806.0
12,103300030402.0,0.0,587888.888888889,587888.888888889
13,103300030403.0,0.0,487100.0,487100.0
14,1033000305.0,-1000.0,443070.5882352941,442070.5882352941
15,1033000307.0,0.0,1920800.0,1920800.0
16,103300030702.0,0.0,1760527.7777777778,1760527.7777777778
17,1033000308.0,-200.0,1199033.3333333333,1198833.3333333333
18,1033000310.0,0.0,367996.0,367996.0
19,1033000504.0,0.0,685344.4444444444,685344.4444444444
20,1033000505.0,,1657500.0,1657500.0
21,1033000506.0,1411400.0,579583.3333333334,1990983.3333333335
22,1033000507.0,106200.0,2559805.5555555555,2666005.5555555555
23,1033000509.0,-500.0,457500.0,457000.0
24,1033000511.0,-53000.0,424316.6666666666,371316.6666666666
25,103300051102.0,-79000.0,2079350.0,2000350.0
26,1041000207.0,0.0,890650.0,890650.0
27,1043000402.0,884000.0,518500.0,1402500.0
28,1043000406.0,0.0,161607.0,161607.0
29,1043000407.0,0.0,1025167.3333333334,1025167.3333333334
30,1043000409.0,683000.0,1981253.0,2664253.0
31,104300040906.0,1455200.0,982416.6666666666,2437616.6666666665
32,104300040908.0,761000.0,2897194.444444445,3658194.444444445
33,1043000410.0,2263200.0,1704625.6666666667,3967825.666666667
34,1043000601.0,624000.0,802711.111111111,1426711.111111111
35,1043000603.0,52000.0,1688005.1476793247,1740005.1476793247
36,1043000604.0,13000.0,611100.0,624100.0
37,1043000605.0,-2000.0,345510.0,343510.0
38,1043000607.0,-1000.0,455572.44444444444,454572.44444444444
39,1043000610.0,145200.0,1233881.1111111112,1379081.1111111112
40,1043000804.0,0.0,485500.0,485500.0
41,1043000805.0,-1200.0,1149993.0555555555,1148793.0555555555
42,1043000806.0,1444200.0,5895233.333333334,7339433.333333334
43,1043000807.0,336000.0,753761.5686274511,1089761.568627451
44,1043000808.0,891800.0,2687071.4285714286,3578871.4285714286
45,1043000809.0,-6000.0,777566.6666666666,771566.6666666666
46,1043000810.0,184000.0,1219900.0,1403900.0
47,1043000811.0,0.0,339850.0,339850.0
48,1051000109.0,205000.0,390341.3333333334,595341.3333333334
49,1051000110.0,145000.0,317847.22222222225,462847.22222222225
50,1053000402.0,-6000.0,438997.22222222225,432997.22222222225
51,1053000403.0,-12000.0,845116.6666666667,833116.6666666667
52,1053000404.0,0.0,527788.8888888889,527788.8888888889
53,105300040605.0,50000.0,381372.22222222225,431372.22222222225
54,105300040607.0,-85000.0,437370.0,352370.0
55,1053000407.0,-21000.0,1930266.6666666665,1909266.6666666665
56,1053000408.0,-3000.0,1080805.5555555555,1077805.5555555555
57,1053000409.0,0.0,666666.6666666667,666666.6666666667
58,1053000410.0,790000.0,2892444.4444444445,3682444.4444444445
59,1053000801.0,347800.0,1222916.6666666667,1570716.6666666667
60,1053000802.0,2557400.0,3325833.333333333,5883233.333333333
61,1053000804.0,-38000.0,470947.77777777775,432947.77777777775
62,1053000805.0,519200.0,1325572.2222222222,1844772.2222222222
63,1053000806.0,0.0,959172.2222222222,959172.2222222222
64,1053000807.0,0.0,673333.3333333333,673333.3333333333
65,1053000808.0,332400.0,3628166.6666666665,3960566.6666666665
66,1053000809.0,24000.0,2238050.0,2262050.0
67,1053001202.0,0.0,285000.0,285000.0
68,1053001203.0,0.0,361426.6666666667,361426.6666666667
69,1053001204.0,-6000.0,4134538.888888889,4128538.888888889
70,1053001205.0,0.0,368400.0,368400.0
71,1053001206.0,-200000.0,514433.3333333333,314433.3333333333
72,1053001207.0,0.0,167900.0,167900.0
73,1053001208.0,-130000.0,884694.4444444444,754694.4444444444
74,1053001209.0,346100.0,1615864.5555555555,1961964.5555555555
75,1053001210.0,-1000.0,341263.88888888893,340263.88888888893
76,1053001503.0,59500.0,1614240.0,1673740.0
77,1053001505.0,57500.0,3262584.666666667,3320084.666666667
78,1053001507.0,50000.0,2313500.0,2363500.0
79,1053001508.0,280000.0,2074500.0,2354500.0
80,1053001509.0,0.0,7763305.555555556,7763305.555555556
81,1053001510.0,-60000.0,2847250.0,2787250.0
82,1053001512.0,24000.0,2308961.111111111,2332961.111111111
83,1053001513.0,20000.0,297333.3333333333,317333.3333333333
84,105300151301.0,201000.0,1359220.0,1560220.0
85,105300151303.0,-1000.0,310900.0,309900.0
86,1053001902.0,0.0,789500.0,789500.0
87,1053001903.0,0.0,2426544.4444444445,2426544.4444444445
88,1053001904.0,0.0,766992.2222222222,766992.2222222222
89,1053001905.0,83200.0,547000.0,630200.0
90,1053001906.0,0.0,660688.8888888889,660688.8888888889
91,1053001907.0,0.0,2762333.3333333335,2762333.3333333335
92,1053001908.0,774000.0,2310822.222222222,3084822.222222222
93,1053001909.0,0.0,1851022.222222222,1851022.222222222
94,1053001910.0,22000.0,1576833.3333333335,1598833.3333333335
95,1053002301.0,0.0,241005.55555555556,241005.55555555556
96,1053002302.0,0.0,1465636.3403656823,1465636.3403656823
