hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
1013000201.0,6228600.0,6432600.0,0.0,0.0,6228600.0,6228600.0,240000.0,240000.0,4906200.0,1322400.0,204000.0
1013000204.0,3090000.0,3165000.0,0.0,0.0,2466000.0,2466000.0,624000.0,624000.0,2480400.0,609600.0,75000.0
1013000206.0,9634000.0,9794000.0,0.0,0.0,9634000.0,9634000.0,0.0,0.0,8008000.0,1626000.0,160000.0
1021000108.0,10672200.0,17455900.0,36400.0,36400.0,10635800.0,10635800.0,0.0,0.0,2917200.0,7755000.0,6783700.0
1021000109.0,9470400.0,13390900.0,0.0,0.0,9470400.0,9470400.0,0.0,0.0,4695600.0,4774800.0,3920500.0
1021000111.0,15901000.0,20692000.0,0.0,0.0,15901000.0,15901000.0,1800000.0,1800000.0,3382600.0,12518400.0,4791000.0
1021000113.0,13522600.0,22297600.0,0.0,0.0,13522600.0,13522600.0,4800000.0,4800000.0,3944200.0,9578400.0,8775000.0
1021000201.0,4821900.0,6126100.0,60000.0,60000.0,4761900.0,4761900.0,0.0,0.0,2484300.0,2337600.0,1304200.0
1021000202.0,2564000.0,2642500.0,0.0,0.0,2564000.0,2564000.0,0.0,0.0,1274000.0,1290000.0,78500.0
1021000203.0,6203200.0,8114900.0,0.0,0.0,6203200.0,6203200.0,0.0,0.0,4513600.0,1689600.0,1911700.0
1021000204.0,1119600.0,1171600.0,0.0,0.0,1119600.0,1119600.0,0.0,0.0,546000.0,573600.0,52000.0
1021000207.0,3200200.0,3990200.0,0.0,0.0,3200200.0,3200200.0,0.0,0.0,2119000.0,1081200.0,790000.0
1021000212.0,4507200.0,5059200.0,0.0,0.0,4507200.0,4507200.0,0.0,0.0,3042000.0,1465200.0,552000.0
1021000213.0,18472800.0,20872800.0,0.0,0.0,18472800.0,18472800.0,720000.0,720000.0,11044800.0,7428000.0,2400000.0
1021000312.0,5370500.0,6520500.0,504400.0,504400.0,4866100.0,4866100.0,0.0,0.0,2533700.0,2836800.0,1150000.0
1021000313.0,3043200.0,3113200.0,0.0,0.0,3043200.0,3043200.0,0.0,0.0,2199600.0,843600.0,70000.0
1021000401.0,999400.0,1035900.0,0.0,0.0,999400.0,999400.0,0.0,0.0,426400.0,573000.0,36500.0
1021000402.0,12340800.0,12612300.0,520000.0,520000.0,11820800.0,11820800.0,6000000.0,6000000.0,4594200.0,7746600.0,271500.0
1021000405.0,4158200.0,4467200.0,0.0,0.0,4158200.0,4158200.0,420000.0,420000.0,2670200.0,1488000.0,309000.0
1021000503.0,2285000.0,2435000.0,0.0,0.0,2285000.0,2285000.0,0.0,0.0,1125800.0,1159200.0,150000.0
1021000504.0,3225200.0,5581200.0,176800.0,176800.0,3048400.0,3048400.0,0.0,0.0,2241200.0,984000.0,2356000.0
1021000506.0,12519600.0,16679600.0,312000.0,312000.0,12207600.0,12207600.0,0.0,0.0,4586400.0,7933200.0,4160000.0
1021000604.0,3646800.0,5029100.0,480000.0,480000.0,3166800.0,3166800.0,0.0,0.0,1965600.0,1681200.0,1382300.0
1021000607.0,19966800.0,22006800.0,0.0,0.0,19966800.0,19966800.0,4800000.0,4800000.0,6037200.0,13929600.0,2040000.0
1021000608.0,5386800.0,5386800.0,26000.0,26000.0,5360800.0,5360800.0,0.0,0.0,2496000.0,2890800.0,
1021000610.0,14680192.0,17214792.0,0.0,0.0,14680192.0,14680192.0,4800000.0,4800000.0,6994000.0,7686192.0,2534600.0
1021000612.0,16893550.0,19791550.0,520000.0,520000.0,16373550.0,16373550.0,3000000.0,3000000.0,9211150.0,7682400.0,2898000.0
1021000701.0,29897600.0,30537600.0,78000.0,78000.0,29819600.0,29819600.0,0.0,0.0,19260800.0,10636800.0,640000.0
1021000702.0,3001200.0,3389200.0,0.0,0.0,3001200.0,3001200.0,0.0,0.0,1669200.0,1332000.0,388000.0
1021000703.0,6158400.0,6268400.0,2400000.0,2400000.0,3758400.0,3758400.0,0.0,0.0,2496000.0,3662400.0,110000.0
1021000705.0,3883600.0,3952600.0,840000.0,840000.0,3043600.0,3043600.0,0.0,0.0,2111200.0,1772400.0,69000.0
1021000709.0,6677200.0,10107200.0,1200000.0,1200000.0,5477200.0,5477200.0,0.0,0.0,2953600.0,3723600.0,3430000.0
1021000710.0,26353000.0,26733000.0,480000.0,480000.0,25873000.0,25873000.0,7200000.0,7200000.0,13795600.0,12557400.0,380000.0
1021000711.0,8304800.0,12084800.0,52000.0,52000.0,8252800.0,8252800.0,1800000.0,1800000.0,3832400.0,4472400.0,3780000.0
1021000802.0,5805000.0,6287000.0,317200.0,317200.0,5487800.0,5487800.0,0.0,0.0,2659800.0,3145200.0,482000.0
1021000805.0,4601800.0,4626800.0,0.0,0.0,4601800.0,4601800.0,0.0,0.0,2789800.0,1812000.0,25000.0
1021000809.0,7198200.0,7542200.0,72800.0,72800.0,7125400.0,7125400.0,0.0,0.0,4750200.0,2448000.0,344000.0
1021000810.0,3050800.0,3050800.0,145600.0,145600.0,2905200.0,2905200.0,360000.0,360000.0,1627600.0,1423200.0,
1021000811.0,4718400.0,5791400.0,0.0,0.0,4718400.0,4718400.0,0.0,0.0,3088800.0,1629600.0,1073000.0
1021000904.0,5574800.0,7366700.0,0.0,0.0,5574800.0,5574800.0,0.0,0.0,2506400.0,3068400.0,1791900.0
1021000906.0,4996900.0,5791900.0,234000.0,234000.0,4762900.0,4762900.0,0.0,0.0,2871700.0,2125200.0,795000.0
1021000909.0,9731900.0,9914900.0,0.0,0.0,9731900.0,9731900.0,0.0,0.0,3968900.0,5763000.0,183000.0
1021001003.0,17866800.0,21076800.0,2190800.0,2190800.0,15676000.0,15676000.0,0.0,0.0,8814000.0,9052800.0,3210000.0
1021001004.0,2353800.0,2881800.0,144000.0,144000.0,2209800.0,2209800.0,0.0,0.0,1396200.0,957600.0,528000.0
1021001007.0,6410400.0,8307400.0,0.0,0.0,6410400.0,6410400.0,0.0,0.0,3759600.0,2650800.0,1897000.0
