hh,urban,year,month,index,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_inc,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation,sex,age,father_educ,father_ocup,ethnic,bednet,writeread,classeduc,illdays,region,wave,age_sq,shock,climate,prices,job,health,aggregate,idiosyn,pests,d_shock,d_climate,d_prices,d_job,d_health,d_aggregate,d_idiosyn,d_pests,familysize,region2,region3,region4,female,lnc,lnctotal_dur,lnctotal_gift,lncfood,lncnodur,lnwage_total,lnbs_profit,lnprofit_agr,lnprofit_ls,lntotal_agrls,lny,lninctotal_trans,u_c,u_y
1013000201,0,2011.0,1.0,0,0.7588671841363875,3172.829293064866,3276.746252860845,0.0,2499.202883093287,673.6264099715793,721.3059562309106,86.59746649664888,2460000.0,163.0069957583979,0.0,163.0069957583979,970.9104184859575,970.9104184859575,0.7429171038824763,1,0.16789087093389296,0,0.08919202518363065,0,worker,0.0,45.0,,,28.0,0.0,1.0,13.0,7.0,1.0,2010-2011,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,8.09002747845833,8.121389508293369,-inf,7.827719281979867,6.527929599354047,6.582474829947256,8.437851972340985,5.437914505351889,5.583914172101296,6.082981962469498,8.613037109285703,8.613037109285703,0.8700689349593747,
1013000204,0,2011.0,1.0,1,0.7588671841363875,1574.0363027920296,1612.2410674229043,0.0,1263.5079758722816,310.528326919748,,34.63898659865956,,317.8636417288759,91.18203825235382,409.0456799812297,443.6846665798893,443.6846665798893,,0,0.9219288174512055,1,0.07807118254879448,0,farmer,,,,,,,,,,,2010-2011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,7.4163689826543076,7.439082680853257,-inf,7.1495283442025634,5.771075160618662,,8.426538438699914,5.771890045882471,6.04255639570127,6.528503132393518,8.51232347175523,8.51232347175523,,
1013000206,1,2010.0,12.0,2,0.7498523637230383,4966.528307774321,5049.011651063078,0.0,4128.291331602321,838.2369761719997,1484.700179197638,206.20835822189414,3600000.0,,,,1690.9085374195317,1690.9085374195317,0.8780487804878049,1,,0,0.12195121951219512,0,worker,1.0,31.0,,,17.0,1.0,0.0,15.0,,1.0,2010-2011,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,8.528227333212017,8.544411306016098,-inf,8.328037578721556,6.743577558897564,7.303654090919934,8.463419831078234,,,,8.735996852911821,8.735996852911821,0.8678170613879956,
1021000108,1,2010.0,11.0,3,0.7396366991402477,5577.730694311447,9123.171344880267,19.0241372231533,1524.648711741286,4053.081982570161,,31.358467950252695,4070000.0,0.0,107.20676230492641,107.20676230492641,138.5652302551791,138.5652302551791,,0,0.7736916548797736,1,0.2263083451202263,0,farmer,1.0,70.0,,,17.0,0.0,0.0,51.0,,1.0,2010-2011,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,8.642358440047559,9.12827520586542,2.945708553082278,7.336054944990497,8.309784250101313,,8.42581981853028,5.820583874908474,4.6357399247401805,5.9468178281352175,8.449040928235556,8.449040928235556,0.41253387922389884,
1021000109,1,2011.0,5.0,4,0.8371777560511098,4372.931557562923,6183.21181725897,0.0,2168.180586004019,2204.7509715589044,2835.128375088312,554.0967508315919,1200000.0,0.0,0.0,0.0,3389.225125919904,3389.225125919904,0.8365122615803815,1,0.0,0,0.16348773841961853,0,worker,0.0,41.0,,,38.0,1.0,0.0,17.0,2.0,1.0,2010-2011,1681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,8.403325360307136,8.743876027553922,-inf,7.686243919786126,7.703055172171413,7.950201779398637,8.53427106587466,5.437914505351889,4.6357399247401805,5.617960748308709,8.977304433235666,8.977304433235666,0.7152140678802699,
1021000111,1,2010.0,10.0,5,0.7303728871193533,8415.924536688,10951.657789645185,0.0,1790.3091841897258,6625.615352498274,5123.334979884274,52.927014255002824,3400000.0,0.0,0.0,0.0,5176.261994139277,5176.261994139277,0.9897750511247444,1,0.0,0,0.010224948875255624,0,worker,1.0,48.0,,,17.0,0.0,0.0,61.0,30.0,1.0,2010-2011,2304.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0,0,0,1,9.048394506625453,9.309335181929795,-inf,7.495712132582785,8.800260066174038,8.541759703101642,8.430535120445217,5.437914505351889,4.6357399247401805,5.617960748308709,9.180735224272475,9.180735224272475,0.5357917796759093,
1021000113,1,2010.0,10.0,6,0.7303728871193533,7157.1084296470135,11801.45393052351,0.0,2087.5472962458216,5069.561133401191,3016.8398125351614,52.927014255002824,9160000.0,0.0,0.0,0.0,3069.7668267901645,3069.7668267901645,0.9827586206896551,1,0.0,0,0.017241379310344827,0,worker,1.0,48.0,,,17.0,1.0,0.0,51.0,10.0,1.0,2010-2011,2304.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0,0,0,1,8.888212645946778,9.383486785166129,-inf,7.648522643257274,8.533049877836897,8.012302788084053,8.430535120445217,5.437914505351889,4.6357399247401805,5.617960748308709,8.936139386774485,8.936139386774485,0.3989827868428364,
1021000201,1,2010.0,11.0,7,0.7396366991402477,2520.123276822058,3201.7518418340505,31.358467950252695,1298.397365480213,1221.725911341845,3010.4129232242585,10.975463782588443,300000.0,0.0,0.0,0.0,3021.388387006847,3021.388387006847,0.9963674104826155,1,0.0,0,0.0036325895173845357,0,worker,1.0,42.0,,,35.0,0.0,0.0,17.0,,1.0,2010-2011,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,7.866749567770031,8.098855510011607,3.4454843406616837,7.176556127982884,7.116459184144601,8.010170898126681,8.421343171329285,5.437914505351889,4.6357399247401805,5.617960748308709,8.929754966698667,8.929754966698667,0.17696098510351987,
1021000202,1,2011.0,5.0,8,0.8371777560511098,1183.9200576101682,1220.1672200604014,0.0,588.2660504662068,595.6540071439614,,43.865992774167694,,,,,43.865992774167694,43.865992774167694,,0,,0,1.0,1,businessman,1.0,43.0,,,17.0,0.0,0.0,15.0,7.0,1.0,2010-2011,1849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,7.149027871378558,7.17710671055269,-inf,6.394030844392754,6.406893563123979,,8.428556913286757,,,,8.428556913286757,8.428556913286757,-0.601711074365082,
1021000203,1,2010.0,11.0,9,0.7396366991402477,3242.0474731501254,4241.180526158427,0.0,2358.9930156710093,883.054457479116,878.0371026070756,5.2264113250421165,2280000.0,0.0,0.0,0.0,883.2635139321176,883.2635139321176,0.9940828402366864,1,0.0,0,0.005917159763313609,0,worker,0.0,59.0,,,68.0,0.0,0.0,16.0,,1.0,2010-2011,3481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0,0,8.11102645052816,8.373352481225872,-inf,7.770219066205052,6.795044122421475,6.778848486483122,8.42007689542984,5.437914505351889,4.6357399247401805,5.617960748308709,8.596981609226148,8.596981609226148,0.5223571681366099,
102100020304,1,2011.0,5.0,10,0.8371777560511098,2379.3837975293277,2451.878122429794,0.0,1693.9661167506483,685.4176807786793,,24.010859202702317,864000.0,0.0,0.0,0.0,24.010859202702317,24.010859202702317,,0,0.0,0,1.0,1,businessman,1.0,28.0,,,17.0,1.0,0.0,,7.0,1.0,2010-2011,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,7.811297777156553,7.840244514612216,-inf,7.440712168593644,6.545021878725787,,8.424208398200921,5.437914505351889,4.6357399247401805,5.617960748308709,8.424208398200921,8.424208398200921,,
1021000204,1,2011.0,5.0,11,0.8371777560511098,516.9722685258753,540.9831277285775,0.0,252.11402162837436,264.858246897501,398.94966059874616,,,,,,398.94966059874616,398.94966059874616,1.0,1,,0,,0,worker,,,,,,,,,,,2010-2011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,6.406748249777136,6.445610340802239,-inf,5.568768853274138,5.617543408465143,5.991385679803629,,,,,8.503292134887664,8.503292134887664,,
1021000207,1,2010.0,11.0,12,0.7396366991402477,1672.556152239978,2085.4426469183054,0.0,1107.4765597764244,565.0795924635536,150.52064616121294,83.62258120067386,2172000.0,,,,234.1432273618868,234.1432273618868,0.6428571428571429,1,,0,0.35714285714285715,1,businessman,1.0,45.0,,,17.0,1.0,0.0,15.0,,1.0,2010-2011,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,1,7.473923300804023,7.684503698031265,-inf,7.018825828505432,6.355124213851386,5.020845920341605,8.437207658326363,,,,8.469298148380853,8.469298148380853,-0.5019681753320739,
1021000212,1,2011.0,5.0,13,0.8371777560511098,2081.187396123459,2336.0719015059917,0.0,1404.6352633580857,676.5521327653738,1296.5863969459251,-335.7826310039447,,0.0,0.0,0.0,960.8037659419804,960.8037659419804,1.3494809688581315,1,0.0,0,-0.3494809688581315,0,worker,,,,,,,,,,,2010-2011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,7.682544795126594,7.7935949707795595,-inf,7.254625020076862,6.5321979705181485,7.168275683560774,8.341944950060654,5.437914505351889,4.6357399247401805,5.617960748308709,8.611198828012803,8.611198828012803,,
1021000213,1,2011.0,5.0,14,0.8371777560511098,8529.765382301526,9637.958883964711,0.0,5099.906494653972,3429.8588876475537,,230.87364617982996,,0.0,0.0,0.0,230.87364617982996,230.87364617982996,,0,0.0,0,1.0,1,businessman,1.0,50.0,,,17.0,0.0,0.0,36.0,,1.0,2010-2011,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,9.061691081847638,9.182651220064601,-inf,8.538935832959586,8.143288698522621,,8.468611915254487,5.437914505351889,4.6357399247401805,5.617960748308709,8.468611915254487,8.468611915254487,0.8946665541915131,
1021000312,1,2010.0,12.0,15,0.7498523637230383,2768.6049695767065,3361.453999464652,260.02873971780855,1306.175293067033,1462.4296765096733,,185.58752239970474,6820000.0,0.0,0.0,0.0,185.58752239970474,185.58752239970474,,0,0.0,0,1.0,1,businessman,0.0,31.0,,,25.0,0.0,0.0,34.0,1.0,1.0,2010-2011,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,7.957720899125401,8.146245997154686,5.560792162282909,7.182483163027102,7.294909696342457,,8.459058325034382,5.437914505351889,4.6357399247401805,5.617960748308709,8.459058325034382,8.459058325034382,0.1729124418230219,
1021000313,1,2010.0,12.0,16,0.7498523637230383,1568.8331893521706,1604.919652041002,0.0,1133.9397618621958,434.8934274899747,510.365686599188,,0.0,,,,510.365686599188,510.365686599188,1.0,1,,0,,0,worker,1.0,38.0,,,57.0,1.0,0.0,51.0,,1.0,2010-2011,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,7.413235296756169,7.434769688318551,-inf,7.042231051014209,6.098630639948059,6.2371217149634255,,,,,8.525635774509746,8.525635774509746,-0.987312681452754,
1021000401,1,2011.0,1.0,17,0.7588671841363875,509.09122362794636,527.6842090816386,0.0,217.2068218480652,291.8844017798812,,,0.0,,,,,0.0,,0,,0,,0,nothing,1.0,34.0,,,17.0,1.0,0.0,17.0,7.0,1.0,2010-2011,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,6.393656183527761,6.424272595868257,-inf,5.425848307224078,5.7112168457322925,,,,,,,8.418924342436389,-1.2953370195391507,
1021000402,1,2011.0,1.0,18,0.7588671841363875,6286.364791422615,6424.66603938638,264.8863681073966,2340.2710622288487,3946.0937291937657,4401.188885476743,15.281905852349803,280000.0,0.0,0.0,0.0,4416.470791329093,4416.470791329093,0.9965397923875432,1,0.0,0,0.0034602076124567475,0,worker,1.0,45.0,,,17.0,1.0,0.0,32.0,,1.0,2010-2011,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,1,8.760188419170655,8.78164971848666,5.579300934430656,7.7622847469073015,8.283101919345572,8.389861439347062,8.422290651175883,5.437914505351889,4.6357399247401805,5.617960748308709,9.099240832440655,9.099240832440655,0.6261805128760081,
1021000405,1,2011.0,1.0,19,0.7588671841363875,2118.1740305080316,2275.5776607872344,0.0,1360.1915002314815,757.9825302765502,305.63811704699606,,640000.0,0.0,0.0,0.0,305.63811704699606,305.63811704699606,1.0,1,0.0,0,,0,worker,1.0,30.0,,,45.0,1.0,0.0,,,1.0,2010-2011,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,1,7.699444653959038,7.7683326741745455,-inf,7.222703733257613,6.644228114757393,5.725729568164005,,5.437914505351889,4.6357399247401805,5.617960748308709,8.484187247144197,8.484187247144197,,
102100040502,1,2011.0,7.0,20,0.8572807873480497,2947.7504833029784,3279.1762627234784,0.0,1889.8935057240783,1057.8569775789003,216.4413253358364,40.58274850046933,2420000.0,0.0,0.0,0.0,257.0240738363058,257.0240738363058,0.8421052631578947,1,0.0,0,0.15789473684210525,0,worker,0.0,29.0,,,18.0,1.0,0.0,51.0,2.0,1.0,2010-2011,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,8.018526147582557,8.122111241447119,-inf,7.549551630478895,6.973740751080379,5.382015473069345,8.427839146613996,5.437914505351889,4.6357399247401805,5.617960748308709,8.474087340517366,8.474087340517366,-0.09732670218157757,
1021000503,1,2011.0,2.0,21,0.7720188003778711,1144.143152888542,1219.251018504858,0.0,563.7095674056546,580.4335854828876,12517.97760271928,,0.0,0.0,0.0,0.0,12517.97760271928,12517.97760271928,1.0,1,0.0,0,,0,worker,0.0,76.0,,,17.0,1.0,0.0,14.0,30.0,1.0,2010-2011,5776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,7.117279350743932,7.176406602291864,-inf,6.352118375426609,6.3814569107859755,9.43500248141257,,5.437914505351889,4.6357399247401805,5.617960748308709,9.743905689582075,9.743905689582075,-0.4495135361745284,
1021000504,1,2011.0,2.0,22,0.7720188003778711,1614.9192545716087,2794.613463851874,88.52713760643074,1122.211656128578,492.7075984430308,,,2920000.0,0.0,0.0,0.0,,0.0,,0,,0,,0,nothing,0.0,38.0,,,17.0,0.0,1.0,12.0,30.0,1.0,2010-2011,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,7.440655746082072,7.966781395433854,4.48330914463025,7.031925727317949,6.220713063243992,,,5.437914505351889,4.6357399247401805,5.617960748308709,,8.418924342436389,0.08369699930154084,
