hh,own_value
1043000607.0,
1043000610.0,83200.0
1043000611.0,
1043000802.0,
1043000804.0,
1043000805.0,
1043000806.0,109200.0
1043000808.0,527800.0
1043000810.0,130000.0
1043000811.0,
1051000104.0,
1051000105.0,
1051000106.0,
1051000109.0,
1051000305.0,
1051000308.0,
1053000402.0,
1053000403.0,
1053000404.0,
1053000406.0,
1053000408.0,
1053000410.0,832000.0
1053000801.0,436800.0
1053000802.0,127400.0
1053000804.0,
1053000805.0,520000.0
1053001202.0,
1053001204.0,
1053001205.0,
1053001206.0,
1053001207.0,
1053001208.0,
1053001209.0,93600.0
1053001505.0,
1053001507.0,
1053001508.0,
1053001903.0,
1053001905.0,83200.0
1053001907.0,
1053001908.0,780000.0
1053001909.0,
1053001910.0,
1053002302.0,
1053002304.0,
1053002305.0,
1053002306.0,
1053002308.0,
1053002309.0,
1053002310.0,387400.0
1053002603.0,
1053002606.0,
1053002607.0,
1053002610.0,
1053003001.0,
1053003003.0,260000.0
1053003006.0,
1053003303.0,
1053003304.0,
1053003307.0,
1053003309.0,436800.0
1053003310.0,780000.0
1053003312.0,364000.0
1063000301.0,436800.0
1063000302.0,
1063000305.0,
1063000307.0,
1063000308.0,
1063000310.0,
1063000502.0,
1063000503.0,
1063000508.0,
1063000509.0,
1063000511.0,
1063000701.0,
1063000702.0,1331200.0
1063000703.0,327600.0
1063000704.0,
1063000706.0,
1063000710.0,
1063000711.0,
1063000902.0,1040000.0
1063000905.0,
1071000101.0,
1071000103.0,
1071000104.0,
1071000106.0,
1071000110.0,
1071000111.0,
1071000201.0,145600.0
1071000205.0,
1071000207.0,
1071000208.0,
1071000209.0,218400.0
1071000210.0,218400.0
1073000801.0,764400.0
1073000803.0,
1073000807.0,130000.0
1073000808.0,
1073001201.0,416000.0
1073001202.0,
1073001205.0,
1073001209.0,
1073001210.0,
1073001601.0,364000.0
1073001602.0,
1073001603.0,
1073001604.0,
1073001605.0,62400.0
1073001606.0,
1073001608.0,
1073001609.0,
1073001610.0,
1073001611.0,
1073002006.0,
1073002007.0,218400.0
1073002009.0,
1073002010.0,582400.0
1073002301.0,
1073002302.0,
1073002303.0,39000.0
1073002308.0,
1073002309.0,364000.0
1081000201.0,
1081000202.0,
1081000203.0,
1081000209.0,
1081000211.0,
1081000214.0,
1081000301.0,
1081000302.0,
1081000308.0,
1081000310.0,
1083000601.0,
1083000604.0,
1083000609.0,
1083000610.0,1456000.0
1083000901.0,
1083000902.0,
1083000903.0,78000.0
1083000904.0,
1083000905.0,
1083000906.0,
1083000907.0,
1083000908.0,
1083000909.0,
1083000910.0,
1083001302.0,
1083001303.0,
1083001304.0,
1083001310.0,1872000.0
1083001311.0,
1083001603.0,
1083001604.0,
1083001606.0,
1083001608.0,
1083001610.0,1248000.0
1083001611.0,
1083001613.0,364000.0
1083002001.0,
1083002002.0,
1083002004.0,
1083002007.0,
1083002008.0,
1083002009.0,
1083002010.0,332800.0
1083002302.0,
1083002303.0,
1083002304.0,
1083002307.0,1053000.0
1083002701.0,
1083002704.0,364000.0
1083002708.0,
1083002709.0,
1083002710.0,
1083003006.0,
1083003008.0,
1083003009.0,
1083003302.0,
1083003306.0,
1083003307.0,
1083003309.0,873600.0
1083003310.0,
1083003312.0,
1093000401.0,436800.0
1093000402.0,1820000.0
1093000403.0,
1093000405.0,
1093000406.0,
1093000407.0,
1093000408.0,
1093000409.0,
1093000410.0,1820000.0
1101000101.0,
1101000102.0,
1101000103.0,
1101000107.0,
1101000114.0,
1103000501.0,1362400.0
1103000502.0,
1103000503.0,780000.0
1103000504.0,
1103000506.0,
1103000507.0,
1103000508.0,
1103000509.0,
1103000510.0,
1103000702.0,124800.0
1103000704.0,
1103000705.0,
1103000706.0,
1103000901.0,
1103000902.0,
1103000905.0,
1103000906.0,
1103001203.0,
1103001206.0,
1103001210.0,
1103001211.0,
1113000101.0,1456000.0
1113000103.0,390000.0
1113000104.0,78000.0
1113000105.0,728000.0
1113000106.0,1456000.0
1113000107.0,2184000.0
1113000108.0,780000.0
1113000109.0,2184000.0
1113000110.0,910000.0
1113000301.0,
1113000302.0,
1113000304.0,
1113000305.0,140400.0
1113000306.0,20800.0
1113000311.0,910000.0
1113000504.0,
1113000505.0,
1113000507.0,
1113000509.0,
1113000510.0,
1121000101.0,
1121000103.0,
1121000104.0,
1121000107.0,
1121000108.0,
1121000109.0,
1121000110.0,
1123000301.0,
1123000302.0,
1123000303.0,
1123000305.0,
1123000310.0,582400.0
1123000606.0,
1123000608.0,
1123000609.0,364000.0
1131000203.0,
1131000205.0,
1131000207.0,
1131000208.0,
1131000209.0,
1131000210.0,
1131000212.0,
1131000302.0,
1131000303.0,
1131000309.0,
1131000404.0,
1131000405.0,
1131000406.0,
1131000409.0,
1131000410.0,
1131000413.0,
1131000604.0,
1131000605.0,
1131000608.0,
1131000609.0,
1131000610.0,936000.0
1131000613.0,
1131000701.0,
1131000704.0,
1131000705.0,
1131000707.0,
1131000710.0,
1133000801.0,
1133000804.0,
1133000805.0,
1133000806.0,
1133000807.0,
1133000808.0,436800.0
1133000809.0,
1133000810.0,1965600.0
1133001005.0,
1133001006.0,
1133001008.0,
1133001009.0,
1133001010.0,
1133001202.0,
1133001203.0,
1133001204.0,
1133001206.0,
1133001207.0,
1133001210.0,
1133001211.0,280800.0
1133001403.0,
1133001406.0,
1133001407.0,
1133001409.0,
1133001601.0,
1133001604.0,
1133001610.0,
1133001903.0,
1133001904.0,
1133001906.0,
1133001909.0,
1133001911.0,
1133001912.0,
1133002102.0,
1133002104.0,
1133002105.0,
1133002106.0,
1133002107.0,
1133002108.0,
1133002303.0,
1133002304.0,
1133002305.0,
1133002308.0,
1133002501.0,
1133002502.0,260000.0
1133002504.0,
1133002506.0,
1133002508.0,
1133002509.0,
1143000301.0,
1143000305.0,
1143000307.0,
1143000308.0,
1143000309.0,
1143000310.0,1040000.0
1153000401.0,
1153000402.0,
1153000404.0,104000.0
1153000405.0,1164800.0
1153002701.0,218400.0
1153002703.0,
1153002705.0,
1153002706.0,
1153002707.0,873600.0
1153002709.0,436800.0
1153002710.0,
1153003102.0,
1153003105.0,
1153003106.0,
1153003107.0,
1163001102.0,
1163001104.0,
1163001105.0,
1163001107.0,
1163001110.0,520000.0
1163001301.0,
1163001302.0,
1163001303.0,
1163001304.0,
1163001305.0,52000.0
1163001307.0,
1163001310.0,
2013000401.0,
2013000402.0,
2013000403.0,
2013000404.0,
2013000406.0,715000.0
2013000407.0,
2013000408.0,
2013000409.0,
2013000410.0,
2013000601.0,
2013000602.0,910000.0
2013000603.0,
2013000604.0,936000.0
2013000605.0,
2013000606.0,
2013000607.0,41600.0
2013000609.0,
2013000804.0,109200.0
2013000805.0,
2013000808.0,
2013000809.0,364000.0
2013000901.0,1471600.0
2013000906.0,
2013000907.0,3016000.0
2013000909.0,390000.0
2013000910.0,468000.0
2013000911.0,
2021000103.0,
2021000107.0,
2021000109.0,
2023000502.0,
2023000504.0,
2023000505.0,
2023000506.0,
2023000508.0,
2023000509.0,
2023000510.0,
2023000701.0,
2023000702.0,
2023000704.0,
2023000705.0,
2023000707.0,62400.0
2023000710.0,
2031000103.0,
2031000106.0,
2031000109.0,
2031000114.0,
2031000402.0,
2031000404.0,
2031000405.0,546000.0
2031000406.0,
2031000407.0,
2031000409.0,
2031000410.0,
2033000803.0,364000.0
2033000804.0,249600.0
2033000807.0,
2033000808.0,
2033001801.0,78000.0
2033001804.0,327600.0
2033001806.0,364000.0
2033001810.0,
2033002301.0,364000.0
2033002307.0,
2033002308.0,
2033002310.0,145600.0
2033002803.0,873600.0
2033002805.0,93600.0
2033002811.0,
2033003303.0,218400.0
2033003304.0,
2033003305.0,208000.0
2033003307.0,
2033003308.0,
2033003310.0,
2041000202.0,
2041000204.0,
2041000210.0,
2041000606.0,
2041000610.0,
2041000611.0,
2041000901.0,
2041000902.0,
2041000904.0,1235000.0
2041000909.0,
