,hh,ctotal,inctotal
0,1013000201,1534.9488412342664,
1,1013000204,1370.7823371634731,
2,1013000210,1235.7565739717047,1099.4944422409844
3,1013000213,183.67622772479538,208.55794927123569
4,1021000102,12399.33852192351,3647.1722647583415
5,1021000108,5104.62000017295,558.5413730551485
6,1021000109,3575.8359175196015,1443.6100227611976
7,1021000110,8335.538908627352,1902.151215224113
8,1021000111,8403.926059964668,1183.8991300653358
9,1021000113,8001.510416314138,
10,1021000201,3801.1228183784574,680.5418100029198
11,1021000202,1243.2881169434575,15.977828781829903
12,1021000203,3335.9269097806673,414.04926945037454
13,1021000207,2686.656101950779,-203.7385294120891
14,1021000209,1802.6937727273603,233.20747383277623
15,1021000210,1021.4487353875599,709.7987476292136
16,1021000212,2234.6058739974574,561.5674222520482
17,1021000213,12825.935757467589,719.0022951823456
18,1021000303,2098.4432509061994,
19,1021000310,3237.767763976508,1233.349526383796
20,1021000312,2418.414505344488,22.790730397294045
21,1021000313,4165.2974894477775,2860.3956699561977
22,1021000401,807.7055774904225,355.8623862926615
23,1021000402,7346.304906994414,12331.354464080978
24,1021000405,2227.2223543537716,2146.228585430532
25,1021000406,3805.431646968299,360.32660977661953
26,1021000408,4369.943335618336,113.518825734935
27,1021000412,,
28,1021000501,1795.8612645976675,
29,1021000503,2529.4815024229474,
30,1021000504,2299.2757934990623,668.5379175142709
31,1021000506,5702.619022780382,80.22968480153982
32,1021000604,2460.0140595120865,89.7581361302299
33,1021000607,11864.957047176747,2385.001902888966
34,1021000610,8932.058658757982,5930.448280033048
35,1021000612,6657.425069733531,2861.5748637709007
36,1021000701,19228.864132194358,3823.696599147794
37,1021000702,2128.2869875568053,722.3931268274163
38,1021000705,1567.8822993319802,
39,1021000709,3707.00065140796,4.233185624538038
40,1021000710,18974.8312434293,2773.6764520711963
41,1021000711,2683.768270293874,606.9359681186975
42,1021000802,2569.397264039715,2720.8951992453185
43,1021000803,2818.948341652281,993.7182466808989
44,1021000805,1162.5468221659437,745.3465392778267
45,1021000807,3581.3894990598824,4291.13520399437
46,1021000810,934.3874457124621,5.3011882770478955
47,1021000811,2988.862962482374,1212.9118777885585
48,1021000909,2019.1182231598448,1355.985069284631
49,1021001003,5901.987066217436,
50,1021001004,1410.9072030014302,761.1501040148592
51,1021001005,4005.0993568400927,368.58195813419024
52,1021001007,1958.4123259982937,2105.6254099335792
53,1021001008,1569.918591858605,5.314551766616807
54,1021001009,3754.305658973445,2135.174317755969
55,1021001011,849.6093417316698,263.9811831021477
56,1021001102,1671.2378208726088,417.8361984464194
57,1021001105,2453.958625796431,69.53239349466784
58,1021001107,6262.652175110789,822.7393717028305
59,1021001109,9415.541862482576,1609.8048050817154
60,1021001110,1815.758226428449,2686.0898471555533
61,1021001205,2907.4030136605893,680.8677041940546
62,1021001206,1533.2122534704856,75.11568024299461
63,1021001208,4124.969589514236,1862.4426817695685
64,1021001210,4980.862156027677,1333.9692434642448
65,1021001211,2905.1655253129256,619.3048105140513
66,1021001301,4553.40887490177,2584.0191987729577
67,1021001302,3286.323186530025,85.48393917164752
68,1021001304,3998.190689981919,1391.6352789118646
69,1021001305,3562.3294551304816,2232.8404911634334
70,1021001306,1189.295303725546,
71,1021001307,1549.2102786862272,146.46343050010742
72,1021001308,2015.9249955153778,598.9218488213555
73,1021001309,806.1135463886362,37.39922338759579
74,1021001311,1540.1561757098568,1744.139789824552
75,1021001402,3129.644298835857,55.65178352827615
76,1021001403,1946.9643963120916,79.50254789753735
77,1021001405,3599.8223671018927,2577.737611331153
78,1021001406,2398.583135219621,79.88914390914951
79,1021001408,4132.91345160418,359.3515164968689
80,1021001501,2783.225196796988,2981.1547400426966
81,1021001504,6532.071143449457,4367.569340195726
82,1021001505,13687.688663026014,2791.148950737442
83,1021001507,3165.8974606771344,
84,1021001607,15641.78875950659,57929.67716647653
85,1021001609,9500.9304842162,3936.594784568402
86,1021001610,6222.064626284294,8896.559657316537
87,1021001701,3542.514989183723,1337.161413358997
88,1021001704,2505.305624069417,64.18374784123186
89,1021001705,1857.9663222155675,58.921840351644015
90,1021001706,2033.0245315128795,2993.9725033023383
91,1021001709,1076.0199354398408,59.77888530221338
92,1021001710,4842.342855881737,5.348645653435988
93,1021001711,3420.094700820392,266.3676604361511
94,1021001713,3469.853612998905,298.8944265110669
95,1021001802,1832.2259343696915,891.7989271402339
96,1021001804,18566.891403041478,18582.340727346775
97,1021001809,3702.5104800625,
98,1021001810,6810.8079832240355,8561.269700546245
99,1021001902,1792.6482823512456,1476.323486557641
100,1021001904,,
101,1021001908,2386.9875440363867,354.3176367738338
102,1021001909,1856.1989815396232,
103,1021001910,4971.288387749282,99.06253844734539
104,1021001915,838.1707536585317,5574.597485241652
105,1021002003,9464.31745477915,66.2648534630987
106,1021002007,1779.5028808394375,887.4189175778178
107,1021002008,1821.8063632902797,
108,1021002010,1637.325011249013,
109,1021002011,6106.619641556843,4160.626614788506
110,1021002013,1310.5597658517809,
111,1021002105,8395.204049486952,5433.3101267148995
112,1021002106,2052.1727680298327,
113,1021002107,4226.88546321907,1330.8726518047756
114,1021002201,3505.270722589725,813.3546444569209
115,1021002202,1201.445427478695,500.53907825096564
116,1021002203,4384.186334352869,2024.6582137691723
117,1021002204,1286.342705778261,574.7148641570396
118,1021002205,3212.7528339551927,277.31331118206504
119,1021002207,4914.460370935433,20.18302734882926
120,1021002208,4297.718577110014,2398.988667450827
121,1021002210,2945.3139599555016,45.705145192904546
122,1021002211,2782.5930139652282,100.97648356571935
123,1021002301,2706.307727725541,2379.013402900486
124,1021002308,1639.787784430405,835.6723968928388
125,1021002309,846.5696983981754,927.4708842258432
126,1021002312,1658.7219900435684,161.52909873376683
127,1021002405,1383.6201753695434,
128,1021002407,4725.1108450658685,3210.476137704842
129,1021002501,4429.243453254952,7924.094023901815
