,hh,urban,year,month,index,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_inc,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation
0,1013000201,0,2009,12,0,0.7273700192526662,1534.9488412342664,1534.9488412342664,0.0,1159.3163223697904,375.63251886447597,,,,,,,,,,,,,,,
1,1013000204,0,2009,12,1,0.7273700192526662,1370.7823371634731,1370.7823371634731,70.15208331934187,1039.7920531385785,330.9902840248948,,,,,,,,,,,,,,,
2,1013000210,0,2010,6,2,0.723981600683125,1235.7565739717047,1235.7565739717047,38.443861616817635,888.480357366452,347.2762166052526,715.055826072808,405.79631706640833,5250000.0,-21.35770089823202,0.0,-21.35770089823202,1099.4944422409844,1099.4944422409844,0.6503496503496503,1.0,-0.019425019425019424,0.0,0.3690753690753691,1.0,businessman
3,1013000213,0,2010,6,3,0.723981600683125,183.67622772479538,183.67622772479538,0.0,63.85952568571374,119.81670203908165,208.55794927123569,,400000.0,,,,208.55794927123569,208.55794927123569,1.0,1.0,,0.0,,0.0,worker
4,1021000102,1,2010,3,4,0.7235315842039208,12399.33852192351,12399.33852192351,1923.3886313620692,4440.997494891053,7958.341027032456,3219.752568900104,427.4196958582376,36000000.0,0.0,0.0,0.0,3647.1722647583415,3647.1722647583415,0.8828079221844604,1.0,0.0,0.0,0.11719207781553967,0.0,worker
5,1021000108,1,2010,3,5,0.7235315842039208,5104.62000017295,5104.62000017295,55.564560461570885,1528.7199696989692,3575.90003047398,,-203.02435553266287,6680000.0,0.0,761.5657285878113,761.5657285878113,558.5413730551485,558.5413730551485,,0.0,1.3634902718524613,1.0,-0.3634902718524612,0.0,farmer
6,1021000109,1,2010,3,6,0.7235315842039208,3575.8359175196015,3575.8359175196015,0.0,2083.671017308908,1492.1649002106933,1192.500951444483,251.1090713167146,4700000.0,0.0,0.0,0.0,1443.6100227611976,1443.6100227611976,0.8260547742413027,1.0,0.0,0.0,0.17394522575869725,0.0,worker
7,1021000110,1,2010,3,7,0.7235315842039208,8335.538908627352,8335.538908627352,0.0,3699.2106127290826,4636.328295898268,2385.001902888966,-482.8506876648528,3624000.0,0.0,0.0,0.0,1902.151215224113,1902.151215224113,1.2538445333895092,1.0,0.0,0.0,-0.2538445333895092,0.0,worker
8,1021000111,1,2010,3,8,0.7235315842039208,8403.926059964668,8403.926059964668,0.0,2758.780426916995,5645.145633047673,1058.3445944069786,125.5545356583573,8890000.0,0.0,0.0,0.0,1183.8991300653358,1183.8991300653358,0.8939482828647503,1.0,0.0,0.0,0.10605171713524979,0.0,worker
9,1021000113,1,2010,3,9,0.7235315842039208,8001.510416314138,8001.510416314138,388.9519232309963,3578.3576937251655,4423.152722588972,,,,,,,,,,,,,,,
10,1021000201,1,2009,11,10,0.7293437235090989,3801.1228183784574,3801.1228183784574,0.0,1388.379494783994,2412.7433235944636,591.4989563576779,89.04285364524185,2016000.0,0.0,0.0,0.0,680.5418100029198,680.5418100029198,0.8691588785046729,1.0,0.0,0.0,0.1308411214953271,0.0,worker
11,1021000202,1,2010,4,11,0.7258143156220446,1243.2881169434575,1243.2881169434575,0.0,563.5912805644134,679.696836379044,,15.977828781829903,1320000.0,0.0,0.0,0.0,15.977828781829903,15.977828781829903,,0.0,0.0,0.0,1.0,1.0,businessman
12,1021000203,1,2009,11,12,0.7293437235090989,3335.9269097806673,3362.4277590798465,0.0,1711.5308511381843,1624.3960586424832,414.04926945037454,,6000000.0,0.0,0.0,0.0,414.04926945037454,414.04926945037454,1.0,1.0,0.0,0.0,,0.0,worker
13,1021000207,1,2009,11,13,0.7293437235090989,2686.656101950779,2686.656101950779,0.0,1134.1303466076695,1552.5257553431095,,-203.7385294120891,4506000.0,0.0,0.0,0.0,-203.7385294120891,-203.7385294120891,,0.0,-0.0,0.0,1.0,1.0,businessman
14,1021000209,1,2009,11,14,0.7293437235090989,1802.6937727273603,1802.6937727273603,0.0,829.5825864615031,973.1111862658573,,233.20747383277623,5520000.0,,,,233.20747383277623,233.20747383277623,,0.0,,0.0,1.0,1.0,businessman
15,1021000210,1,2009,11,15,0.7293437235090989,1021.4487353875599,1021.4487353875599,0.0,661.4611985075109,359.98753688004916,709.7987476292136,,0.0,,,,709.7987476292136,709.7987476292136,1.0,1.0,,0.0,,0.0,worker
16,1021000212,1,2010,4,16,0.7258143156220446,2234.6058739974574,2234.6058739974574,346.1862902729812,1390.9765143168386,843.6293596806189,534.9377076156651,26.62971463638317,2980000.0,0.0,0.0,0.0,561.5674222520482,561.5674222520482,0.9525796661608498,1.0,0.0,0.0,0.04742033383915023,0.0,worker
17,1021000213,1,2010,4,17,0.7258143156220446,12825.935757467589,12825.935757467589,0.0,4971.23512832001,7854.70062914758,,719.0022951823456,2400000.0,0.0,0.0,0.0,719.0022951823456,719.0022951823456,,0.0,0.0,0.0,1.0,1.0,businessman
18,1021000303,1,2009,11,18,0.7293437235090989,2098.4432509061994,2140.844609784886,869.2278570130751,846.1191164241909,1252.3241344820085,,,5450000.0,,,,,0.0,,0.0,,0.0,,0.0,nothing
19,1021000310,1,2009,11,19,0.7293437235090989,3237.767763976508,3653.83109797362,1157.557097388144,1320.1663086879068,1917.601455288601,1182.9979127153558,50.35161366844033,4160000.0,0.0,0.0,0.0,1233.349526383796,1233.349526383796,0.9591749033089815,1.0,0.0,0.0,0.04082509669101848,0.0,worker
20,1021000312,1,2009,11,20,0.7293437235090989,2418.414505344488,2528.9230469220647,0.0,1152.7339428156934,1265.6805625287948,,22.790730397294045,5876000.0,0.0,0.0,0.0,22.790730397294045,22.790730397294045,,0.0,0.0,0.0,1.0,1.0,businessman
21,1021000313,1,2009,11,21,0.7293437235090989,4165.2974894477775,4324.302585242852,0.0,2836.0148886009524,1329.2826008468246,2839.1949905168544,21.200679439343297,500000.0,,,,2860.3956699561977,2860.3956699561977,0.9925882004150608,1.0,,0.0,0.007411799584939223,0.0,worker
22,1021000401,1,2009,12,22,0.7273700192526662,807.7055774904225,807.7055774904225,127.54924239880339,435.2617896859166,372.44378780450586,355.8623862926615,,0.0,,,,355.8623862926615,355.8623862926615,1.0,1.0,,0.0,,0.0,worker
23,1021000402,1,2009,12,23,0.7273700192526662,7346.304906994414,7346.304906994414,0.0,1904.09760694347,5442.207300050944,9786.21562304819,2545.138841032789,44676000.0,0.0,0.0,0.0,12331.354464080978,12331.354464080978,0.7936042753092273,1.0,0.0,0.0,0.20639572469077275,0.0,worker
24,1021000405,1,2009,12,24,0.7273700192526662,2227.2223543537716,2227.2223543537716,0.0,1768.6828279300737,458.5395264236982,2135.174317755969,11.05426767456296,1080000.0,0.0,0.0,0.0,2146.228585430532,2146.228585430532,0.9948494453248812,1.0,0.0,0.0,0.005150554675118859,0.0,worker
25,1021000406,1,2009,12,25,0.7273700192526662,3805.431646968299,3805.431646968299,207.2675188980555,2594.989336603655,1210.442310364644,,360.32660977661953,8944000.0,0.0,0.0,0.0,360.32660977661953,360.32660977661953,,0.0,0.0,0.0,1.0,1.0,businessman
26,1021000408,1,2009,12,26,0.7273700192526662,4369.943335618336,4369.943335618336,595.4423799317472,1734.1382414470643,2635.805094171272,,37.30815340164999,1160000.0,0.0,76.21067233328502,76.21067233328502,113.518825734935,113.518825734935,,0.0,0.6713483146067416,1.0,0.32865168539325845,0.0,farmer
27,1021000412,1,2010,6,27,0.723981600683125,,,,,,,,,,,,,,,,,,,,
28,1021000501,1,2010,1,28,0.7227335425221252,1795.8612645976675,1795.8612645976675,0.0,500.6332331616085,1295.228031436059,,,1950000.0,,,,,0.0,,0.0,,0.0,,0.0,nothing
29,1021000503,1,2010,1,29,0.7227335425221252,2529.4815024229474,2705.9868089863353,1643.1039447355356,1009.6103535425771,1519.8711488803704,,,650000.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,nothing
30,1021000504,1,2010,1,30,0.7227335425221252,2299.2757934990623,2367.471025580371,152.97126568826926,1137.5499575727658,1161.7258359262967,668.5379175142709,,1900000.0,0.0,0.0,0.0,668.5379175142709,668.5379175142709,1.0,1.0,0.0,0.0,,0.0,worker
31,1021000506,1,2010,1,31,0.7227335425221252,5702.619022780382,5702.619022780382,0.0,3519.729758700086,2182.8892640802956,,80.22968480153982,10000000.0,0.0,0.0,0.0,80.22968480153982,80.22968480153982,,0.0,0.0,0.0,1.0,1.0,businessman
32,1021000604,1,2010,3,32,0.7235315842039208,2460.0140595120865,2460.0140595120865,0.0,1158.521085623753,1301.4929738883336,,89.7581361302299,2016000.0,0.0,0.0,0.0,89.7581361302299,89.7581361302299,,0.0,0.0,0.0,1.0,1.0,businessman
33,1021000607,1,2010,3,33,0.7235315842039208,11864.957047176747,11998.525702132447,0.0,4011.7612653254187,7853.195781851328,2385.001902888966,,9350000.0,0.0,0.0,0.0,2385.001902888966,2385.001902888966,1.0,1.0,0.0,0.0,,0.0,worker
34,1021000610,1,2010,3,34,0.7235315842039208,8932.058658757982,8932.058658757982,0.0,3369.990591994275,5562.068066763708,,5930.448280033048,13200000.0,0.0,0.0,0.0,5930.448280033048,5930.448280033048,,0.0,0.0,0.0,1.0,1.0,businessman
35,1021000612,1,2010,3,35,0.7235315842039208,6657.425069733531,6663.302090551581,0.0,3092.16778968642,3565.2572800471103,2086.8766650278453,774.6981987430556,7660000.0,0.0,0.0,0.0,2861.5748637709007,2861.5748637709007,0.7292755787901419,1.0,0.0,0.0,0.2707244212098581,0.0,worker
36,1021000701,1,2010,3,36,0.7235315842039208,19228.864132194358,20030.276061928555,0.0,8736.138018570484,10492.726113623876,2862.0022834667593,961.6943156810346,22612000.0,0.0,0.0,0.0,3823.696599147794,3823.696599147794,0.7484909456740443,1.0,0.0,0.0,0.2515090543259557,0.0,worker
37,1021000702,1,2009,9,37,0.7305411977959669,2128.2869875568053,2128.2869875568053,192.60994591648077,1459.0203403173416,669.2666472394639,708.6352735476676,13.757853279748625,2112000.0,0.0,0.0,0.0,722.3931268274163,722.3931268274163,0.9809551714034573,1.0,0.0,0.0,0.01904482859654263,0.0,worker
38,1021000705,1,2010,3,38,0.7235315842039208,1567.8822993319802,1586.5819110257783,384.67772627241385,945.9866418582445,621.8956574737358,,,20000.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,nothing
39,1021000709,1,2009,9,39,0.7305411977959669,3707.00065140796,3707.00065140796,0.0,1667.4518175055332,2039.548833902427,,4.233185624538038,6074000.0,,,,4.233185624538038,4.233185624538038,,0.0,,0.0,1.0,1.0,businessman
40,1021000710,1,2009,9,40,0.7305411977959669,18974.8312434293,18974.8312434293,2254.1713450665056,12981.910354770804,5992.920888658501,2399.0256656561664,,7400000.0,0.0,374.65078641503004,374.65078641503004,2773.6764520711963,2773.6764520711963,0.864926283620692,1.0,0.13507371637930798,0.0,,0.0,worker
41,1021000711,1,2010,3,41,0.7235315842039208,2683.768270293874,2683.768270293874,0.0,1316.88008293923,1366.8881873546438,596.2504757222415,10.68549239645594,7200000.0,0.0,0.0,0.0,606.9359681186975,606.9359681186975,0.9823943661971831,1.0,0.0,0.0,0.017605633802816902,0.0,worker
42,1021000802,1,2009,11,42,0.7293437235090989,2569.397264039715,2569.397264039715,488.8876678712564,1557.189904819765,1012.2073592199503,2720.8951992453185,,710000.0,0.0,0.0,0.0,2720.8951992453185,2720.8951992453185,1.0,1.0,0.0,0.0,,0.0,worker
43,1021000803,1,2009,11,43,0.7293437235090989,2818.948341652281,2818.948341652281,0.0,1080.3866242289344,1738.561717423347,993.7182466808989,,0.0,,,,993.7182466808989,993.7182466808989,1.0,1.0,,0.0,,0.0,worker
44,1021000805,1,2010,4,44,0.7258143156220446,1162.5468221659437,1162.5468221659437,0.0,523.4336708927476,639.1131512731961,745.3465392778267,,0.0,,,,745.3465392778267,745.3465392778267,1.0,1.0,,0.0,,0.0,worker
45,1021000807,1,2009,10,45,0.7292036084702209,3581.3894990598824,3581.3894990598824,0.0,1342.472919279609,2238.916579780273,,185.54158969667634,9850000.0,493.01050976545423,3612.58310453224,4105.593614297694,4291.13520399437,4291.13520399437,,0.0,0.9567616537637951,1.0,0.0432383462362049,0.0,farmer
