hh,urban,year,month,index,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_inc,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation,sex,age,father_educ,father_ocup,ethnic,bednet,writeread,classeduc,illdays,region,wave,age_sq,shock,climate,prices,job,health,aggregate,idiosyn,pests,d_shock,d_climate,d_prices,d_job,d_health,d_aggregate,d_idiosyn,d_pests,familysize,region2,region3,region4,female,lnc,lnctotal_dur,lnctotal_gift,lncfood,lncnodur,lnwage_total,lnbs_profit,lnprofit_agr,lnprofit_ls,lntotal_agrls,lny,lninctotal_trans,u_c,u_y
1013000201,0,2009,12,0,0.7273700192526662,1534.9488412342664,1534.9488412342664,0.0,1159.3163223697904,375.63251886447597,,,,,,,,,,,,,,,,2.0,44.0,,,30.0,1.0,0.0,13.0,7.0,1.0,2009-2010,1936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,7.336252331279756,7.336252331279756,-inf,7.067991887376615,5.94639346608537,,,,,,,,-0.23384790831892222,
1013000204,0,2009,12,1,0.7273700192526662,1370.7823371634731,1370.7823371634731,70.15208331934187,1039.7920531385785,330.9902840248948,,,,,,,,,,,,,,,,1.0,34.0,,,17.0,0.0,0.0,15.0,,1.0,2009-2010,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,7.223136904860155,7.223136904860155,4.250665504173662,6.960598453962192,5.822245508833692,,,,,,,,,
1013000210,0,2010,6,2,0.723981600683125,1235.7565739717047,1235.7565739717047,38.443861616817635,888.480357366452,347.2762166052526,715.055826072808,405.79631706640833,5250000.0,-21.35770089823202,0.0,-21.35770089823202,1099.4944422409844,1099.4944422409844,0.6503496503496503,1.0,-0.019425019425019424,0.0,0.3690753690753691,1.0,businessman,1.0,38.0,,,17.0,1.0,0.0,17.0,,1.0,2009-2010,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,7.119438671996268,7.119438671996268,3.649199037350398,6.805670061854159,5.869340726096521,6.572460426131386,7.795724943294086,4.430649743945883,4.570841111772096,4.011082585158751,7.7055092125588835,7.7055092125588835,,
1013000213,0,2010,6,3,0.723981600683125,183.67622772479538,183.67622772479538,0.0,63.85952568571374,119.81670203908165,208.55794927123569,,400000.0,,,,208.55794927123569,208.55794927123569,1.0,1.0,,0.0,,0.0,worker,1.0,31.0,,,17.0,0.0,1.0,15.0,30.0,1.0,2009-2010,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5.2131745757077415,5.2131745757077415,-inf,4.360953263771129,4.840684862893065,5.34055909438115,,,,,7.192641947146632,7.192641947146632,-2.128822007820956,
1021000102,1,2010,3,4,0.7235315842039208,12399.33852192351,12399.33852192351,1923.3886313620692,4440.997494891053,7958.341027032456,3219.752568900104,427.4196958582376,36000000.0,0.0,0.0,0.0,3647.1722647583415,3647.1722647583415,0.8828079221844604,1.0,0.0,0.0,0.11719207781553967,0.0,worker,1.0,39.0,,,17.0,0.0,0.0,36.0,,1.0,2009-2010,1521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,9.425398405164064,9.425398405164064,7.561843821562187,8.401887775174114,8.982822306481099,8.077081960272784,7.804583403137482,4.430649743945883,4.77054096345957,4.338130975615988,8.469729533081878,8.469729533081878,,
1021000108,1,2010,3,5,0.7235315842039208,5104.62000017295,5104.62000017295,55.564560461570885,1528.7199696989692,3575.90003047398,,-203.02435553266287,6680000.0,0.0,761.5657285878113,761.5657285878113,558.5413730551485,558.5413730551485,,0.0,1.3634902718524613,1.0,-0.3634902718524612,0.0,farmer,1.0,70.0,,,17.0,1.0,0.0,22.0,,1.0,2009-2010,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,8.537901291035448,8.537901291035448,4.017545596259358,7.341608416021059,8.183855049105876,,7.5073441693627565,6.739989310346976,4.77054096345957,6.731173259757629,7.42630782667694,7.42630782667694,,
1021000109,1,2010,3,6,0.7235315842039208,3575.8359175196015,3575.8359175196015,0.0,2083.671017308908,1492.1649002106933,1192.500951444483,251.1090713167146,4700000.0,0.0,0.0,0.0,1443.6100227611976,1443.6100227611976,0.8260547742413027,1.0,0.0,0.0,0.17394522575869725,0.0,worker,2.0,39.0,,,38.0,1.0,0.0,17.0,,1.0,2009-2010,1521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,1,8.181954250878158,8.181954250878158,-inf,7.6488080713271644,7.312489582607093,7.083867869428499,7.729956533569236,4.430649743945883,4.77054096345957,4.338130975615988,7.849582523177044,7.849582523177044,,
1021000110,1,2010,3,7,0.7235315842039208,8335.538908627352,8335.538908627352,0.0,3699.2106127290826,4636.328295898268,2385.001902888966,-482.8506876648528,3624000.0,0.0,0.0,0.0,1902.151215224113,1902.151215224113,1.2538445333895092,1.0,0.0,0.0,-0.2538445333895092,0.0,worker,1.0,53.0,,,17.0,0.0,0.0,61.0,,1.0,2009-2010,2809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,9.02828344919884,9.02828344919884,-inf,8.219779346970276,8.443130545187625,7.776985126031523,7.340539486726299,4.430649743945883,4.77054096345957,4.338130975615988,8.014072673019303,8.014072673019303,,
1021000111,1,2010,3,8,0.7235315842039208,8403.926059964668,8403.926059964668,0.0,2758.780426916995,5645.145633047673,1058.3445944069786,125.5545356583573,8890000.0,0.0,0.0,0.0,1183.8991300653358,1183.8991300653358,0.8939482828647503,1.0,0.0,0.0,0.10605171713524979,0.0,worker,1.0,47.0,,,17.0,0.0,0.0,,14.0,1.0,2009-2010,2209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0,0,9.036454263730645,9.036454263730645,-inf,7.927776159716957,8.63974438382557,6.964528698008928,7.673199285941423,4.430649743945883,4.77054096345957,4.338130975615988,7.742815353519451,7.742815353519451,1.5447248568189247,
1021000113,1,2010,3,9,0.7235315842039208,8001.510416314138,8001.510416314138,388.9519232309963,3578.3576937251655,4423.152722588972,,,,,,,,,,,,,,,,1.0,47.0,,,17.0,1.0,0.0,51.0,9.0,1.0,2009-2010,2209.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,8.987385604880378,8.987385604880378,5.963455745314671,8.186695454437961,8.396130487146674,,,,,,,,1.202373660157055,
