hh,own_value
1083002303.0,
1083002306.0,
1083002701.0,
1083002702.0,
1083002703.0,
1083002704.0,
1083002708.0,353600.0
1083002710.0,
1083003006.0,416000.0
1083003008.0,
1083003009.0,
1083003301.0,
1083003302.0,520000.0
1083003306.0,
1083003307.0,
1083003309.0,218400.0
1083003310.0,
1083003312.0,
1093000401.0,
1093000402.0,364000.0
1093000403.0,546000.0
1093000405.0,
1093000406.0,
1093000407.0,
1093000408.0,312000.0
1093000409.0,
1093000410.0,364000.0
1101000101.0,
1101000102.0,
1101000103.0,
1101000107.0,
1101000114.0,
1103000501.0,218400.0
1103000502.0,
1103000503.0,780000.0
1103000505.0,
1103000506.0,
1103000507.0,
1103000508.0,
1103000509.0,
1103000510.0,
1103000702.0,
1103000705.0,
1103000706.0,
1103000709.0,
1103000710.0,
1103000901.0,
1103000903.0,
1103000904.0,
1103000905.0,
1103000906.0,
1103000907.0,
1103000909.0,416000.0
1103001203.0,
1103001205.0,
1103001206.0,
1103001209.0,
1103001210.0,
1103001211.0,
1113000101.0,637000.0
1113000103.0,546000.0
1113000104.0,1263600.0
1113000105.0,
1113000106.0,
1113000107.0,
1113000108.0,655200.0
1113000109.0,182000.0
1113000110.0,1092000.0
1113000301.0,
1113000302.0,62400.0
1113000305.0,436800.0
1113000310.0,
1113000502.0,312000.0
1113000504.0,
1113000505.0,
1113000506.0,
1113000507.0,
1113000508.0,
1113000509.0,
1113000510.0,
1121000103.0,
1121000107.0,
1121000108.0,795600.0
1121000110.0,
1123000301.0,
1123000303.0,
1123000305.0,436800.0
1123000306.0,
1123000307.0,
1123000308.0,
1123000309.0,364000.0
1123000311.0,
1123000603.0,
1123000605.0,
1123000606.0,
1123000608.0,
1123000609.0,52000.0
1123000610.0,
1131000203.0,
1131000205.0,
1131000207.0,
1131000208.0,
1131000209.0,
1131000210.0,
1131000212.0,
1131000303.0,
1131000309.0,
1131000310.0,
1131000404.0,
1131000405.0,
1131000406.0,
1131000409.0,
1131000410.0,
1131000413.0,
1131000604.0,
1131000605.0,
1131000609.0,62400.0
1131000610.0,624000.0
1131000613.0,
1131000701.0,
1131000703.0,
1131000704.0,
1131000705.0,
1131000706.0,
1131000707.0,
1131000709.0,
1131000710.0,
1133000801.0,104000.0
1133000803.0,
1133000804.0,
1133000805.0,1456000.0
1133000806.0,
1133000808.0,
1133000809.0,
1133000810.0,728000.0
1133001003.0,
1133001005.0,
1133001006.0,
1133001008.0,
1133001009.0,
1133001010.0,
1133001202.0,
1133001206.0,
1133001209.0,
1133001210.0,873600.0
1133001404.0,
1133001407.0,
1133001408.0,1778400.0
1133001409.0,260000.0
1133001410.0,
1133001411.0,
1133001601.0,
1133001603.0,
1133001604.0,
1133001605.0,
1133001606.0,
1133001607.0,
